Week,Module #,Module,Spine / source,Exact reading / section anchor,Learning outcomes,Closed-book regeneration,Novel problem / build,Oral-defense prompt,Weekly mastery gate,Primary/legal URL,Status
19,4,Chemistry + materials,OpenStax Chemistry 2e,Ch. 12–13 kinetics/equilibrium; Ch. 16 thermodynamics,"Connect rate laws, activation barriers, equilibrium constants and free energy.",Derive Arrhenius linearization and ΔG–K relation.,"Fit kinetic data, estimate activation energy, and optimize a reaction under equilibrium/throughput constraints.",Why can thermodynamically favorable reactions be technologically useless?,Pass: separate equilibrium yield from reaction rate and transport limits.,https://openstax.org/details/books/chemistry-2e,Not Started
20,4,Chemistry + materials,OpenStax Chemistry 2e + MIT 3.091,Electrochemistry + diffusion/kinetics; MIT sessions 23–24 and electrochemistry materials,"Model redox potentials, cells, transport and degradation; understand electrochemical energy storage.",Derive Nernst-equation directionality and diffusion timescale/current-limitation intuition.,"Build a simple battery-cell model with open-circuit voltage, internal resistance, diffusion-like rate limit and degradation proxy.",Where does a battery's lost energy go?,"Pass: energy, charge and transport balances all close.",https://openstax.org/details/books/chemistry-2e,Not Started
21,4,Chemistry + materials,MIT 3.091 + TU Delft structures/materials,"Phase diagrams, polymers/composites, materials selection, processing–structure–property",Use phase diagrams and material indices; connect processing/defects/microstructure to performance and manufacturability.,Derive lever rule and one Ashby-style performance index for a constrained design.,Select material/process for a lightweight pressure vessel or thermal structure and justify against competing classes.,When does the 'best material' cease to exist because manufacturing/repair/supply constraints dominate?,"Module defense: material selection includes chemistry, structure, processing, failure and supply/scale.",https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
22,5,Electronics + embedded systems,All About Circuits + The Art of Electronics reference,"DC circuits: Ohm/Kirchhoff, Thevenin/Norton, RC/RL transients","Analyze passive networks and interfaces; reason about loading, time constants, energy and measurement.","Derive nodal KCL, Thevenin equivalent and RC step response.",Build/simulate a sensor-divider + RC filter and quantify loading/calibration error.,Why does connecting a measurement instrument alter the thing measured?,Pass: circuit prediction agrees with measured/simulated values including source/load impedance.,https://www.allaboutcircuits.com/textbook/,Not Started
23,5,Electronics + embedded systems,All About Circuits,"Semiconductors: diodes, BJTs, MOSFETs, op-amp fundamentals",Use semiconductor devices as switches/amplifiers and design basic analog signal conditioning.,Derive ideal op-amp inverting/noninverting gains and MOSFET switch loss intuition.,Design a sensor front-end from millivolt signal to ADC range with noise/saturation protection.,Which 'ideal op-amp' assumptions are most dangerous in real instrumentation?,"Pass: include rails, bandwidth, bias/noise and source impedance in design check.",https://www.allaboutcircuits.com/textbook/,Not Started
24,5,Electronics + embedded systems,All About Circuits,"AC, filters, impedance, power electronics basics",Design frequency-selective networks and basic power conversion while accounting for losses and switching.,Derive RC/RLC frequency response and average switching-converter energy balance.,Simulate a buck-converter or motor-driver power stage with switching loss and current ripple.,"Why is power electronics primarily an energy-flow and thermal problem, not only a circuit problem?",Pass: electrical + thermal efficiency budget with switching/current limits.,https://www.allaboutcircuits.com/textbook/,Not Started
25,5,Electronics + embedded systems,Valvano-style embedded spine + All About Circuits digital,"Digital logic, ADC/DAC, timers, interrupts, serial buses, real-time state machines",Bridge physical signals to deterministic computation and back; understand timing and concurrency at device scale.,Reconstruct ADC quantization and sampling constraints; design finite-state machine from requirements.,"Microcontroller/virtual MCU project: sample sensor, filter, control actuator, log faults with deadline monitoring.",What does 'real time' mean besides 'fast'?,"Pass: timing budget, state machine and failure behavior are explicit.",https://www.allaboutcircuits.com/textbook/,Not Started
26,5,Electronics + embedded systems,Integrated instrumentation/control studio,Datasheets + Wave 1 signals/control + AAC reference,"Integrate sensing, analog front-end, computation, communications, actuation and power into one architecture.",Derive full noise/resolution/error budget from sensor through ADC and estimator.,"Build a closed-loop embedded instrument or detailed simulator with fault injection, watchdog and calibration routine.","Where should intelligence live: sensor, edge controller, network or cloud?",Module defense: schematic/architecture → budgets → timing → control → power → test evidence.,https://www.allaboutcircuits.com/textbook/,Not Started
27,6,Mechanical design + fluids + structures,TU Delft Open Textbook + OpenStax UP1,"Stress/strain, elasticity, loads; TU Delft Module 1 + OpenStax Ch. 12","Translate loads into stress/strain/deflection; distinguish material stiffness, geometry and safety factor.",Derive axial stress/strain and beam-bending scaling from force/moment balance.,Design a lightweight bracket/beam for stiffness and strength; validate with simple FEA or analytical comparison.,Why can making a part stronger make a system worse?,"Pass: load cases, failure modes, safety factor and mass tradeoff are explicit.",https://books.open.tudelft.nl/home/catalog/book/197,Not Started
28,6,Mechanical design + fluids + structures,TU Delft,"Modules 3–4 aerospace structures, shells, loads and stresses","Understand thin-walled structures, buckling intuition, load paths and mass-efficient shell/stiffener concepts.",Derive thin-wall pressure-vessel hoop stress and Euler-buckling scaling.,Concept design a rotating-habitat pressure shell or spacecraft tank with mass/buckling/load-path analysis.,"When does buckling, not material yield, become the governing failure?",Pass: identify governing mode before adding material.,https://books.open.tudelft.nl/home/catalog/book/197,Not Started
29,6,Mechanical design + fluids + structures,OpenStax UP1,"Ch. 14 Fluid Mechanics: pressure, continuity, Bernoulli, viscosity/turbulence","Build control-volume fluid models; relate pressure, velocity, elevation, losses and regime.",Derive continuity and Bernoulli for ideal steady flow; derive Reynolds-number dimensions.,Size a life-support coolant/air loop including pipe losses and pump requirement.,Why can Bernoulli be exactly derived yet badly misapplied?,Pass: every Bernoulli use states assumptions and loss terms.,https://openstax.org/details/books/university-physics-volume-1,Not Started
30,6,Mechanical design + fluids + structures,TU Delft + fluid reference,"Fatigue, durability, joining, composites, material/structure selection","Reason about cyclic loads, damage accumulation, joints, composites and inspectability/repair.",Derive stress-concentration/fatigue-life scaling qualitatively and composite rule-of-mixtures bounds.,"Redesign the Week-28 structure for manufacturability, inspection and fatigue rather than one-shot static strength.",What is the difference between damage tolerance and infinite-life design?,Pass: design includes inspection interval and graceful-failure strategy.,https://books.open.tudelft.nl/home/catalog/book/197,Not Started
31,6,Mechanical design + fluids + structures,Integrated design studio,Shigley/White/TU Delft references,"Integrate structures, fluids, thermal loads, mechanisms, tolerances and controls into a real assembly.",Regenerate dimensional-analysis/Buckingham-Pi workflow and one tolerance-stack relation.,"Design a small pump/valve/structure or exoskeleton-joint subsystem; include CAD, load cases, fluid/thermal/tolerance budgets.","Which uncertainty dominates: loads, material, manufacturing, environment or model form?",Module defense: design review with quantified margins and test plan.,https://books.open.tudelft.nl/home/catalog/book/197,Not Started
32,7,Molecular + cell biology,OpenStax Biology 2e,Ch. 4 cell structure + Ch. 5 membranes and transport,"Understand compartments, membranes, transport, electrochemical gradients and organelle functions.",Reconstruct diffusion/osmosis/active-transport driving forces and membrane area/volume scaling.,Model nutrient/oxygen diffusion into a cell/tissue sphere and identify size limits without vasculature.,Why does surface-area-to-volume scaling constrain artificial tissue?,Pass: transport limitation predicted before simulation and tied to geometry.,https://openstax.org/details/books/biology-2e,Not Started
33,7,Molecular + cell biology,OpenStax Biology 2e,Ch. 6 metabolism + Ch. 7 cellular respiration + Ch. 8 photosynthesis,"Track biological energy, redox carriers, ATP and metabolic pathways as controlled reaction networks.",Derive ATP/free-energy coupling and proton-gradient/chemiosmosis logic.,Create stoichiometric energy/redox balance for a simplified microbial bioreactor or photosynthetic system.,"How is metabolism simultaneously chemistry, thermodynamics and control?",Pass: carbon/electron/energy balances close.,https://openstax.org/details/books/biology-2e,Not Started
34,7,Molecular + cell biology,OpenStax Biology 2e,Ch. 9 cell communication + Ch. 10 cell cycle/division,"Understand receptors, signaling cascades, feedback, proliferation checkpoints and cell-state transitions.",Draw a signaling feedback loop and derive simple Hill-function response; reconstruct cell-cycle checkpoint logic.,Simulate a bistable cell-fate switch and test sensitivity to signaling noise.,Why can the same signal cause different outcomes in different cells?,"Pass: mechanism includes receptor/state/context, not signal name alone.",https://openstax.org/details/books/biology-2e,Not Started
35,7,Molecular + cell biology,OpenStax Biology 2e,Ch. 14 DNA replication/repair + Ch. 15 transcription/translation,"Understand information storage, replication fidelity, transcription, translation and mutation sources.",Reconstruct central dogma with directionality/enzymes and simple error-rate compounding.,Model information fidelity across replication and protein expression; calculate mutation/error burden across many generations.,Where does biological 'error correction' occur and where is error intentionally retained?,"Pass: distinguish DNA mutation, transcription error and translation error consequences.",https://openstax.org/details/books/biology-2e,Not Started
36,7,Molecular + cell biology,OpenStax Biology 2e,Ch. 16 gene regulation + Ch. 17 biotechnology/genomics,"Understand gene regulation, PCR/sequencing/editing concepts, biotechnology workflows and measurement limitations.",Reconstruct lac-style regulatory logic and PCR amplification scaling.,Design a non-clinical synthetic gene-circuit experiment in simulation: sensor → regulator → reporter with controls and failure modes.,Why is successful editing not equivalent to safe/functional phenotype?,Module defense: biological intervention → mechanism → measurement → controls → off-target/selection risks.,https://openstax.org/details/books/biology-2e,Not Started
37,8,Genetics + evolution + systems biology,OpenStax Biology 2e,Ch. 11 meiosis; Ch. 12 Mendel; Ch. 13 inheritance; Ch. 19 population genetics,"Reason about segregation, recombination, linkage, genotype–phenotype uncertainty and allele-frequency dynamics.",Derive Hardy-Weinberg equilibrium and basic selection update.,Simulate drift vs selection in finite populations and quantify fixation variability.,Why can a beneficial allele fail to fix?,Pass: distinguish deterministic selection from stochastic drift and linkage.,https://openstax.org/details/books/biology-2e,Not Started
38,8,Genetics + evolution + systems biology,MIT Systems Biology + Alon reference,"Sessions 2–7: input functions, autoregulation, bistability, oscillators, motifs","Model gene circuits with Hill/Michaelis-like functions, feedback and network motifs.",Derive fixed points of a self-regulating gene and conditions for bistability qualitatively.,Simulate toggle switch and oscillator; perturb parameters/noise and map robust operating regions.,When is a biological circuit 'designed' by evolution versus merely describable as a circuit?,Pass: network behavior predicted from equations and tested under perturbation.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
39,8,Genetics + evolution + systems biology,MIT Systems Biology,"Sessions 8–17: stochastic expression, master equation/Gillespie, robustness, evolution",Model stochastic gene expression and evolutionary adaptation under finite populations.,Reconstruct Gillespie-event selection logic and selection coefficient/fixation intuition.,Implement stochastic gene-expression or mutation-selection simulation and compare mean-field ODE prediction.,When does averaging erase the phenomenon you care about?,Pass: explain when deterministic and stochastic models disagree.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
40,8,Genetics + evolution + systems biology,MIT Systems Biology,"Sessions 18–24 games, fluctuating environments, interactions, ecosystem stability/spatial dynamics","Analyze eco-evolutionary feedback, games, predator–prey/interactions, resilience and critical transitions.",Derive replicator equation for a two-strategy game or Lotka–Volterra fixed points.,"Design an artificial-ecosystem simulation with resource constraints, mutation/adaptation and perturbation recovery.",What makes an engineered ecosystem robust rather than merely stable at one equilibrium?,Module defense: proposed biological intervention includes evolutionary escape/adaptation scenario.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
41,9,Neuroscience + physiology,EPFL Neuronal Dynamics + OpenStax A&P,Neuronal Dynamics Ch. 1–4; A&P Ch. 12 nervous-system intro,"Model membrane potentials, spikes, integrate-and-fire behavior and neural coding fundamentals.",Derive leaky integrate-and-fire equation from RC analogy and membrane time constant.,Simulate spike response to noisy current; estimate firing-rate code and timing sensitivity.,What information is lost when spikes are reduced to firing rate?,Pass: relate circuit parameters to neural dynamics and data representation.,https://www.epfl.ch/labs/lcn/neuronaldynamicsbook/,Not Started
42,9,Neuroscience + physiology,Neuronal Dynamics,"Population coding, decoding, learning/plasticity selections",Decode hidden variables from neural activity and understand population representations/adaptation.,Derive simple linear population decoder/least-squares estimate and spike-train likelihood intuition.,"Build a synthetic BCI decoder and test drift, recalibration and distribution shift.",Why can a decoder improve benchmark accuracy while becoming worse for the user?,"Pass: evaluate calibration, latency, robustness and adaptation—not accuracy alone.",https://www.epfl.ch/labs/lcn/neuronaldynamicsbook/,Not Started
43,9,Neuroscience + physiology,OpenStax Anatomy & Physiology 2e,Ch. 17 endocrine + Ch. 19 heart + Ch. 20 vessels/circulation + Ch. 22 respiratory,"Understand multi-loop physiological homeostasis: endocrine signaling, circulation, gas exchange and autonomic regulation.",Derive cardiac output and oxygen-delivery relations; sketch endocrine negative-feedback loop.,Construct a lumped cardiovascular/respiratory control model under exercise or altitude.,Why is physiological control decentralized and multi-timescale?,Pass: model explains at least two interacting feedback loops and compensations.,https://openstax.org/details/books/anatomy-and-physiology-2e,Not Started
44,9,Neuroscience + physiology,OpenStax Anatomy & Physiology 2e,Ch. 25 urinary + acid-base/fluid regulation; integration with neural/endocrine systems,"Understand filtration, osmoregulation, electrolyte and acid-base homeostasis as controlled transport systems.",Derive clearance concept and simple mass-balance model for body fluid compartment.,Design an artificial-organ control toy model (dialysis/insulin/ventilation) with sensor delay and safety constraints.,What makes replacing an organ harder than matching its average throughput?,"Module defense: physiological replacement must meet dynamic regulation, redundancy and failure constraints.",https://openstax.org/details/books/anatomy-and-physiology-2e,Not Started
45,10,Manufacturing + operations,MIT 2.008 Spring 2025,Process physics and design-for-manufacturing lectures; machining/deforming/casting/additive overview,Choose manufacturing processes from geometry/material/rate/quality/cost constraints.,Regenerate chip/load/energy or material-flow scaling for one process and basic tolerance-stack logic.,"Take a Wave-2 component and compare machining, forming/casting and additive routes quantitatively.",Why is a manufacturable geometry different from an optimally shaped geometry?,"Pass: process selection includes tooling, rate, tolerances, material utilization and inspection.",https://ocw.mit.edu/courses/2-008-design-and-manufacturing-ii-spring-2025/,Not Started
46,10,Manufacturing + operations,MIT 2.008 Spring 2025,Lectures 11–12 variation/quality/statistical process control,Translate metrology into yield/capability/process control and diagnose variation sources.,Derive Cp/Cpk intuition and control-limit standard-error scaling.,Simulate process drift and compare inspection-only vs process-control strategies.,Why can 100% inspection still produce poor quality?,"Pass: distinguish measurement error, common cause, special cause and specification.",https://ocw.mit.edu/courses/2-008-design-and-manufacturing-ii-spring-2025/,Not Started
47,10,Manufacturing + operations,MIT 2.008 Spring 2025,"Lectures 15–19 manufacturing systems, planning, cost, lean, transfer lines","Reason about capacity, bottlenecks, WIP, cycle time, utilization, flow and production economics.",Derive Little's Law and bottleneck throughput bound.,"Scale a prior prototype to 10,000 units/year: routing, machines, staffing/automation, WIP, downtime and unit cost.",Why does maximizing machine utilization often hurt system throughput?,"Pass: line design includes bottleneck, variability and recovery, not average cycle time only.",https://ocw.mit.edu/courses/2-008-design-and-manufacturing-ii-spring-2025/,Not Started
48,10,Manufacturing + operations,MIT 2.008 + Factory Physics/Groover reference,Integrated production-system studio,"Integrate process physics, quality, maintenance, supply chain, learning curve and capital deployment.",Derive yield multiplication across serial process steps and simple learning-curve relation.,"Create manufacturing plan for a battery module, robot actuator, biosensor or spacecraft component with supplier and maintenance risks.","Where should redundancy live: product, process, supplier or inventory?",Module defense: credible 10k-unit plan with rate/cost/yield/quality/maintenance/supply evidence.,https://ocw.mit.edu/courses/2-008-design-and-manufacturing-ii-spring-2025/,Not Started
49,11,Safety + reliability + security,"Nancy Leveson, Engineering a Safer World",Intro + STAMP/system-theoretic accident model chapters,"Model accidents as unsafe control and interaction failures, not only broken components.",Reconstruct STAMP control-structure idea and distinguish hazard from component failure.,"Analyze a familiar autonomous/medical/energy system with control structure, hazards and unsafe control actions.",Can every accident be reduced to a root cause?,"Pass: causal story includes interactions, constraints and organizational context.",https://mitpress.mit.edu/9780262533690/engineering-a-safer-world/,Not Started
50,11,Safety + reliability + security,NIST reliability + Leveson,"Lifetime distributions, hazard/failure rate, reliability growth, redundancy, common-cause failure",Quantify reliability while knowing when independence/component models are inadequate.,Derive series/parallel reliability and exponential survival/hazard relation.,Build reliability block model for a spacecraft/medical/autonomous system and add one common-cause mode that breaks it.,When does adding redundancy reduce reliability or safety?,"Pass: model includes dependencies, maintenance/repair and confidence/uncertainty.",https://www.nist.gov/publications/nistsematech-engineering-statistics-handbook-chapter-8-reliability,Not Started
51,11,Safety + reliability + security,"Ross Anderson, Security Engineering 3e",Ch. 1–3 opponent/usability; Ch. 6–7 access/distributed; Ch. 27–28 development/assurance,"Threat-model systems across technical, physical, human and economic attack surfaces.",Reconstruct assets–adversaries–capabilities–surfaces–controls model and least-privilege argument.,"Threat-model an autonomous lab, BCI or self-replicating probe architecture; include malicious insider and supply-chain cases.",Why is security a system property rather than a cryptography property?,Pass: defenses map to explicit attacker capability and include detection/recovery.,https://www.cl.cam.ac.uk/archive/rja14/book.html,Not Started
52,11,Safety + reliability + security,Integrated safety case,Leveson + NIST + Anderson + prior modules,"Build an evidence-backed safety/reliability/security case with requirements, hazards, threats, tests and operational monitoring.","Regenerate fault tree vs STPA distinction, defense-in-depth, graceful degradation and kill/containment conditions.",Final Wave-2 capstone: choose one frontier system and produce safety case + FMEA/reliability model + threat model + incident response + verification plan.,"What evidence would justify deployment, and what evidence would force shutdown?","Final gate: independent reviewer can trace every critical claim to model, measurement/test, assumption or unresolved risk.",https://mitpress.mit.edu/9780262533690/engineering-a-safer-world/,Not Started
