Week,Module #,Module,Spine,Exact reading / section anchor,Learning outcomes,Closed-book regeneration,Novel problem / build,Oral-defense prompt,Weekly mastery gate,Primary source URL,Status
24,5,Probability,"Blitzstein & Hwang, 2e","Ch. 8–10, pp. 367–496: transformations; conditional expectation; inequalities & limit theorems","Transform variables, condition on information, use bounds/LLN/CLT and know approximation regimes.",Derive law of total expectation; prove Markov/Chebyshev inequalities; state LLN vs CLT distinctly.,Build a Monte Carlo uncertainty estimator and empirically verify convergence/breakdown under heavy tails.,What does the CLT not guarantee?,"Module gate: approximate a hard probability three ways—simulation, bound, asymptotic approximation—and reconcile differences.",https://probabilitybook.net/,Not Started
25,6,Statistics + causal inference,"Hernán & Robins, Causal Inference: What If (2024 revision)","Part I Ch. 1–3, approx. pp. 3–42: causal effects; randomized experiments; observational studies",Define counterfactual causal effects and target trials; separate identification from association.,Write potential-outcome estimands for a binary intervention and derive randomized identification by exchangeability.,Take an observational claim about an AI tutoring intervention and write the target trial you wish had been run.,What exactly is the causal quantity you claim to estimate?,"Gate: every claim must name intervention, population, outcome, horizon, estimand and identification assumptions.",https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,Not Started
26,6,Statistics + causal inference,Hernán & Robins,Part I Ch. 6–9: causal diagrams; confounding; selection bias; measurement bias,"Build DAGs; identify backdoor paths, colliders, selection and measurement structures.",Regenerate why conditioning on a common effect can create association; derive one adjustment set from a DAG.,Construct two plausible DAGs for the same platform metric where the correct adjustment decisions differ.,Can data alone choose between causally different DAGs with the same observational distribution?,Oral gate: diagnose three intentionally misleading regression specifications.,https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,Not Started
27,6,Statistics + causal inference,Hernán & Robins,"Part II Ch. 11–16, approx. pp. 147–216: modeling, IP weighting, g-formula, outcome regression, propensity, IV","Connect estimands to model-based estimators; understand IPW, standardization, outcome models, propensity and IV assumptions.",Derive inverse-probability weighting intuition from pseudo-population balancing; derive standardization as averaging conditional outcomes.,"Estimate one synthetic treatment effect with outcome regression, weighting and standardization; compare sensitivity to misspecification.",Why can three estimators agree and all be wrong?,"Gate: defend estimator choice by assumptions, not by lowest standard error.",https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,Not Started
28,6,Statistics + causal inference,Hernán & Robins,"Ch. 22 Target trial emulation, pp. 299–316; selected Ch. 23 mediation, pp. 317–325","Design observational analyses as explicit trial emulations; align eligibility, treatment, time zero and follow-up.",Reconstruct the target-trial protocol template from memory.,Turn a longitudinal product/health dataset into a target-trial specification and identify immortal-time/selection traps.,Why is time zero a causal-design decision rather than a data-cleaning detail?,Module defense: critique a published/constructed observational study and redesign it before touching estimation.,https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,Not Started
29,7,Scientific computing,"Driscoll & Braun, Fundamentals of Numerical Computation",Ch. 1–3: floating point; linear systems; overdetermined systems,"Distinguish model error, conditioning and algorithmic error; solve linear/least-squares problems stably.",Derive condition number intuition and backward-error concept; explain why normal equations square condition number.,"Construct a near-singular calibration problem and compare naive inversion, QR and SVD behavior.",What does it mean for a numerical answer to be backward stable?,"Gate: diagnose whether an error comes from data, model, conditioning or algorithm.",https://fncbook.com/,Not Started
30,7,Scientific computing,"Driscoll & Braun, FNC","Ch. 4 roots/nonlinear equations; Ch. 5 interpolation, finite differences, integration","Implement Newton/secant, interpolation, finite differences and quadrature with convergence/error checks.",Derive Newton from local linearization; derive finite-difference truncation order with Taylor expansion.,Build a derivative/integral routine that adaptively selects resolution and reports an error estimate.,Why can higher formal order perform worse in finite precision?,"Gate: implement two methods for same quantity, compare convergence and explain discrepancy.",https://fncbook.com/,Not Started
31,7,Scientific computing,"Driscoll & Braun, FNC",Ch. 6 IVPs; Ch. 7 matrix analysis (SVD/eigen); selected Ch. 8 Krylov,Integrate ODEs adaptively; connect eigen/SVD analysis to computational behavior and large systems.,Derive Euler local error and Runge-Kutta idea; derive power iteration intuition.,Simulate a stiff vs non-stiff dynamical system and document solver failure/success regimes.,How can a physically stable system still be numerically unstable?,Closed-book method comparison + one solver implementation from pseudocode.,https://fncbook.com/,Not Started
32,7,Scientific computing,"Driscoll & Braun, FNC","Ch. 10–13: BVPs, diffusion, advection, 2D PDEs","Discretize continuum models and reason about stability, stiffness, convergence and boundary conditions.",Derive a finite-difference Laplacian and method-of-lines semi-discretization.,Solve 1D heat diffusion and advection; show one unstable discretization and diagnose it.,What makes a discretization a model in its own right?,Module gate: turn one PDE into a computational experiment with grid-refinement and conservation checks.,https://fncbook.com/,Not Started
33,8,Optimization,"Boyd & Vandenberghe, Convex Optimization","Ch. 2 Convex sets, pp. 21–66; Ch. 3 convex functions, pp. 67–126",Recognize convex structure; prove sets/functions convex; use epigraph and composition rules.,Derive Jensen's inequality intuition and first-order convexity condition.,Reformulate a resource-allocation problem until its convex/nonconvex pieces are explicit.,Why does convexity change what a local optimum means?,Gate: classify 12 problems/functions/sets with proof or counterexample.,https://web.stanford.edu/~boyd/cvxbook/,Not Started
34,8,Optimization,Boyd & Vandenberghe,"Ch. 4 Convex optimization problems, pp. 127–214; Ch. 5 Duality, pp. 215–288","Formulate standard convex problems; understand Lagrangian, dual function, KKT and sensitivity.",Derive Lagrange dual for a simple constrained problem and interpret dual variables as marginal values.,Optimize energy/storage scheduling and interpret shadow prices under changing constraints.,When is a constraint's dual variable more informative than the primal solution?,Oral gate: derive KKT conditions on an unseen small problem and explain each term operationally.,https://web.stanford.edu/~boyd/cvxbook/,Not Started
35,8,Optimization,Boyd & Vandenberghe,"Ch. 6 approximation/fitting, pp. 291–350; Ch. 7 statistical estimation, pp. 351–396","Connect optimization to fitting, regularization, estimation and design tradeoffs.",Derive ridge regression objective and closed-form solution; explain regularization geometrically.,"Fit an inverse problem under noise with L1/L2 penalties; compare sparsity, bias and robustness.",How does a regularizer encode a prior belief or design preference?,Gate: choose objective/regularizer for a new problem and defend against two alternatives.,https://web.stanford.edu/~boyd/cvxbook/,Not Started
36,8,Optimization,Boyd & Vandenberghe,"Ch. 9–11, pp. 457–630: unconstrained, equality-constrained, interior-point methods","Understand descent/Newton methods, line search, equality constraints and barrier/interior-point ideas.",Derive Newton step from quadratic local model and equality-constrained KKT linear system.,Implement gradient descent vs Newton on an ill-conditioned objective and visualize convergence geometry.,Why can a mathematically superior method be practically worse?,"Module gate: formulate, solve, stress-test and objective-audit one real design problem.",https://web.stanford.edu/~boyd/cvxbook/,Not Started
37,9,Information + signals,"David MacKay, Information Theory, Inference, and Learning Algorithms","Ch. 1–3, pp. 3–64: information, probability, entropy, inference",Quantify information and uncertainty; connect Bayesian inference to coding/statistical viewpoints.,Derive binary entropy properties and Bayes update; explain entropy as expected surprise/code length.,Compute information gained from a sequence of diagnostic measurements; identify redundant measurements.,Can more data ever contain less useful information for a specific decision?,Gate: derive entropy/mutual-information identities on a small discrete example.,https://www.inference.org.uk/itprnn/book.html,Not Started
38,9,Information + signals,MacKay,"Ch. 4–11, pp. 67–~200: source coding, noisy channels, error-correcting codes","Understand compression limits, mutual information, channel capacity and coding as reliability engineering.",Derive source coding intuition and binary symmetric channel mutual information.,Simulate a noisy communication channel and compare repetition vs a simple block code at fixed bandwidth.,Why is redundancy wasteful for compression but valuable for reliability?,Oral gate: explain channel capacity without using the phrase 'maximum data rate' until the end.,https://www.inference.org.uk/itprnn/book.html,Not Started
39,9,Information + signals,"Oppenheim & Schafer, Discrete-Time Signal Processing, 3e (MIT OCW)","Core sections: discrete-time signals/systems, LTI/convolution, DTFT, sampling","Move fluently between time and frequency representations; understand convolution, sampling, aliasing and filters.",Derive convolution response of an LTI system and Nyquist sampling condition intuition.,Sample a synthetic biosignal below/above Nyquist; demonstrate aliasing and design an anti-alias filter.,Why can an aliased signal look perfectly smooth and still be irrecoverably wrong?,Gate: predict spectrum/filter outcome before computing FFT.,https://ocw.mit.edu/courses/res-6-dtsp-discrete-time-signal-processing/,Not Started
40,9,Information + signals,Oppenheim & Schafer + MacKay synthesis,Filtering/spectral estimation + estimation/information exercises,Design filters under noise/bandwidth constraints; relate observability/information to sensor design.,Derive moving-average frequency response; derive signal-to-noise improvement tradeoff for averaging.,Create a sensor-placement toy problem and maximize information about hidden state under a measurement budget.,When is a low-pass filter equivalent to throwing away causal signal?,Module defense: raw noisy signal → model → spectrum → filter → uncertainty/information statement.,https://ocw.mit.edu/courses/res-6-dtsp-discrete-time-signal-processing/,Not Started
41,10,Control + estimation,"Åström & Murray, Feedback Systems, 2e",Ch. 1 Introduction; Ch. 2 Feedback Principles,"Understand feedback/feedforward architectures, disturbance rejection, tracking and fundamental tradeoffs.",Derive proportional-feedback closed-loop transfer on a simple linear plant.,"Control a simulated thermal chamber under disturbances using open loop, feedforward and feedback; compare.",Why can negative feedback destabilize a system?,"Gate: draw loop, label signals/units, derive closed-loop relation from first principles.",https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers,Not Started
42,10,Control + estimation,"Åström & Murray, Feedback Systems, 2e",Ch. 3 examples; Ch. 4 dynamic behavior / state-space core,"Build state-space models; analyze equilibria, linearization, modes and response.",Derive state transition for linear system and local linearization around an equilibrium.,Identify a low-order state model from simulated step-response data and compare prediction to held-out input.,What state variables are physically meaningful vs merely sufficient coordinates?,Gate: model a novel physical system from diagram to state equations.,https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers,Not Started
43,10,Control + estimation,Åström & Murray,State feedback / reachability / observability chapters and exercises,"Reason about controllability, observability and state feedback; understand unreachable/unseen modes.",Derive controllability and observability matrices for a small LTI system and interpret rank.,Design actuator/sensor placement for a toy spacecraft or bioreactor to recover lost controllability/observability.,Can a system be perfectly stable yet uncontrollable in the way you care about?,Oral gate: diagnose an unseen system's actuator/sensor limitations before designing gains.,https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers,Not Started
44,10,Control + estimation,Åström & Murray,"Frequency response, loop analysis, robustness and design tradeoffs chapters","Use frequency-domain reasoning for bandwidth, margins, disturbance/noise rejection and robustness.",Derive sinusoidal steady-state response and explain gain/phase margins conceptually.,Tune a controller where increasing bandwidth improves tracking but amplifies sensor noise and excites unmodeled dynamics.,What does robustness mean when the model class itself is wrong?,Gate: Bode/response diagnosis with one intentionally hidden unmodeled pole.,https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers,Not Started
45,10,Control + estimation,Åström & Murray + estimation synthesis,Implementation + state estimation/Kalman-filter supplement,"Estimate hidden state from noisy measurements; integrate model, sensor and controller into an end-to-end loop.",Derive scalar Kalman update as precision-weighted fusion; connect predict/update to Bayes.,"Build an inverted-pendulum/cart-pole or equivalent simulated system with noisy sensors, state estimator and stabilizing controller.",Why is a controller only as good as the state information it can infer?,"Module defense: 90 minutes, unknown plant → model → observability → estimator → controller → robustness tests.",https://fbswiki.org/wiki/index.php/Feedback_Systems:_An_Introduction_for_Scientists_and_Engineers,Not Started
46,11,Metrology + experiments,NIST/SEMATECH e-Handbook,Ch. 2 Measurement Process Characterization + uncertainty/calibration sections,"Separate measurand, instrument, calibration, bias, repeatability, reproducibility and uncertainty budget.",Rebuild an uncertainty budget from independent sources; derive first-order propagation via local linearization.,"Calibrate a cheap sensor against a reference; quantify bias, hysteresis, repeatability and uncertainty.","What is the difference between resolution, accuracy, precision and uncertainty?",Gate: deliver a calibration certificate-style report with traceable assumptions.,https://www.itl.nist.gov/div898/handbook/,Not Started
47,11,Metrology + experiments,NIST/SEMATECH e-Handbook,Ch. 4 Process Modeling + Ch. 5 Process/Product Improvement (DOE),"Design experiments that identify causal factors efficiently; use blocking, randomization, factorial thinking and response surfaces.",Derive main-effect estimate in a 2^2 factorial and explain interaction geometrically.,"Run a small factorial experiment on software/robot/sensor parameters; pre-register response, nuisance factors and analysis.",Why is changing one factor at a time often information-inefficient?,Gate: design a 16-run-or-less experiment for an unfamiliar engineering question and defend identifiability.,https://www.itl.nist.gov/div898/handbook/,Not Started
48,11,Metrology + experiments,NIST/SEMATECH e-Handbook,Ch. 3 Production Process Characterization + Ch. 6 Monitoring + Ch. 8 Reliability,"Distinguish common/special causes, process capability, drift, reliability and validation from a one-off demo.",Derive standard error of mean and basic reliability of independent series/parallel components.,"Take one previous Wave-1 build and specify how it would be monitored at 10,000-unit deployment scale.",When does more testing fail to reduce epistemic uncertainty?,"Final Wave-1 gate: reproduce a measurement, publish raw data/code, identify uncertainty and one untested failure mode.",https://www.itl.nist.gov/div898/handbook/,Not Started
