Module,Learning target,Rank,Textbook,Author(s),Role,Level,Why it made the cut,Amazon search,Legal full/open text,Access status,Best free companion
4,ODEs + dynamical systems,5,Notes on Diffy Qs: Differential Equations for Engineers,Jiří Lebl,Open engineering path,Undergraduate,"Excellent free engineering-oriented text including systems, nonlinear equations, and introductory PDEs.",https://www.amazon.com/s?k=Notes+on+Diffy+Qs%3A+Differential+Equations+for+Engineers+Ji%C5%99%C3%AD+Lebl,https://www.jirka.org/diffyqs/,Full open text,https://www.jirka.org/diffyqs/
5,PDEs + transport,1,Partial Differential Equations: An Introduction,Walter A. Strauss,Primary spine,Upper undergraduate,"Excellent first serious treatment of waves, diffusion, Laplace equations, Fourier methods, and characteristics.",https://www.amazon.com/s?k=Partial+Differential+Equations%3A+An+Introduction+Walter+A.+Strauss,,No legal full text located,https://www.math.ucdavis.edu/~hunter/pdes/pdes.html
5,PDEs + transport,2,Partial Differential Equations,Lawrence C. Evans,Rigor / reference,Graduate,"The modern graduate standard for weak solutions, Sobolev methods, elliptic/parabolic/hyperbolic PDEs, and nonlinear PDEs.",https://www.amazon.com/s?k=Partial+Differential+Equations+Lawrence+C.+Evans,,No legal full text located,https://www.math.ucdavis.edu/~hunter/pdes/pdes.html
5,PDEs + transport,3,Applied Partial Differential Equations with Fourier Series and Boundary Value Problems,Richard Haberman,Applications,Undergraduate,"Strong engineering/science treatment of separation of variables, transforms, and physical boundary-value problems.",https://www.amazon.com/s?k=Applied+Partial+Differential+Equations+with+Fourier+Series+and+Boundary+Value+Problems+Richard+Haberman,,No legal full text located,https://www.math.ucdavis.edu/~hunter/pdes/pdes.html
5,PDEs + transport,4,Applied Partial Differential Equations,J. David Logan,Modeling,Undergraduate / graduate,"Connects PDE forms to transport, conservation, diffusion, waves, and real applied models.",https://www.amazon.com/s?k=Applied+Partial+Differential+Equations+J.+David+Logan,,No legal full text located,https://www.math.ucdavis.edu/~hunter/pdes/pdes.html
5,PDEs + transport,5,Partial Differential Equations for Scientists and Engineers,Stanley J. Farlow,Problem-solving,Undergraduate,Compact and practical introduction to the major PDE families and classical solution techniques.,https://www.amazon.com/s?k=Partial+Differential+Equations+for+Scientists+and+Engineers+Stanley+J.+Farlow,,No legal full text located,https://www.math.ucdavis.edu/~hunter/pdes/pdes.html
6,Probability,1,Introduction to Probability,"Joseph K. Blitzstein, Jessica Hwang",Primary spine,Undergraduate,"Exceptional conceptual training in conditioning, counting, random variables, expectation, and probabilistic thinking.",https://www.amazon.com/s?k=Introduction+to+Probability+Joseph+K.+Blitzstein%2C+Jessica+Hwang,https://probabilitybook.net/,Free legal online materials / edition,https://probabilitybook.net/
6,Probability,2,Introduction to Probability,"Dimitri P. Bertsekas, John N. Tsitsiklis",Engineering rigor,Undergraduate,"Compact, precise, and especially good for conditional probability, random processes, and engineering applications.",https://www.amazon.com/s?k=Introduction+to+Probability+Dimitri+P.+Bertsekas%2C+John+N.+Tsitsiklis,,No legal full text located,https://probabilitybook.net/
6,Probability,3,A First Course in Probability,Sheldon Ross,Exercise bank,Undergraduate,"Large, standard problem repertoire; useful for acquiring speed and fluency.",https://www.amazon.com/s?k=A+First+Course+in+Probability+Sheldon+Ross,,No legal full text located,https://probabilitybook.net/
6,Probability,4,Probability and Random Processes,"Geoffrey Grimmett, David Stirzaker",Depth,Upper undergraduate,Strong transition from elementary probability into stochastic processes and rigorous probabilistic modeling.,https://www.amazon.com/s?k=Probability+and+Random+Processes+Geoffrey+Grimmett%2C+David+Stirzaker,,No legal full text located,https://probabilitybook.net/
6,Probability,5,Introduction to Probability,"Charles M. Grinstead, J. Laurie Snell",Open classic,Undergraduate,Classic free text with simulation-flavored intuition and many exercises.,https://www.amazon.com/s?k=Introduction+to+Probability+Charles+M.+Grinstead%2C+J.+Laurie+Snell,https://math.dartmouth.edu/~prob/prob/prob.pdf,Full open text,https://math.dartmouth.edu/~prob/prob/prob.pdf
7,Statistics + causal inference,1,Causal Inference: What If,"Miguel A. Hernán, James M. Robins",Causal primary spine,Graduate / advanced undergraduate,"The most important rigorous bridge from observational data to intervention questions; defines targets, identification, bias, and causal estimation.",https://www.amazon.com/s?k=Causal+Inference%3A+What+If+Miguel+A.+Hern%C3%A1n%2C+James+M.+Robins,https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,Full legal author PDF,https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/
7,Statistics + causal inference,2,Regression and Other Stories,"Andrew Gelman, Jennifer Hill, Aki Vehtari",Applied statistics spine,Undergraduate / graduate,"Excellent model-building habits: regression, uncertainty, checking, transformations, and interpretation.",https://www.amazon.com/s?k=Regression+and+Other+Stories+Andrew+Gelman%2C+Jennifer+Hill%2C+Aki+Vehtari,,No legal full text located,https://theeffectbook.net/
7,Statistics + causal inference,3,All of Statistics: A Concise Course in Statistical Inference,Larry Wasserman,Theory compact,Graduate / advanced undergraduate,"Dense survey of estimation, testing, regression, Bayesian ideas, bootstrap, density estimation, and learning.",https://www.amazon.com/s?k=All+of+Statistics%3A+A+Concise+Course+in+Statistical+Inference+Larry+Wasserman,,No legal full text located,https://theeffectbook.net/
7,Statistics + causal inference,4,The Effect: An Introduction to Research Design and Causality,Nick Huntington-Klein,Open causal intuition,Undergraduate,Very strong bridge from identification ideas to real research designs; free web version remains legally available.,https://www.amazon.com/s?k=The+Effect%3A+An+Introduction+to+Research+Design+and+Causality+Nick+Huntington-Klein,https://theeffectbook.net/,Full legal web edition,https://theeffectbook.net/
7,Statistics + causal inference,5,Causal Inference: The Mixtape,Scott Cunningham,Empirical designs,Undergraduate / graduate,"Hands-on treatment of DAGs, regression, matching, IV, diff-in-diff, RDD, and synthetic control.",https://www.amazon.com/s?k=Causal+Inference%3A+The+Mixtape+Scott+Cunningham,https://mixtape.scunning.com/,Full legal web edition,https://mixtape.scunning.com/
8,Optimization,1,Convex Optimization,"Stephen Boyd, Lieven Vandenberghe",Primary spine,Upper undergraduate / graduate,"The canonical modern text for convexity, duality, KKT conditions, modeling, algorithms, and engineering applications.",https://www.amazon.com/s?k=Convex+Optimization+Stephen+Boyd%2C+Lieven+Vandenberghe,https://web.stanford.edu/~boyd/cvxbook/,Full legal web/PDF,https://web.stanford.edu/~boyd/cvxbook/
8,Optimization,2,Numerical Optimization,"Jorge Nocedal, Stephen J. Wright",Algorithms / depth,Graduate,"Core reference for line search, trust region, quasi-Newton, constrained methods, and large-scale numerical optimization.",https://www.amazon.com/s?k=Numerical+Optimization+Jorge+Nocedal%2C+Stephen+J.+Wright,,No legal full text located,https://algorithmsbook.com/optimization/
8,Optimization,3,Nonlinear Programming,Dimitri P. Bertsekas,Nonlinear depth,Graduate,"Deep treatment of constrained nonlinear optimization, duality, and algorithmic convergence.",https://www.amazon.com/s?k=Nonlinear+Programming+Dimitri+P.+Bertsekas,,No legal full text located,https://algorithmsbook.com/optimization/
8,Optimization,4,Introduction to Linear Optimization,"Dimitris Bertsimas, John N. Tsitsiklis",Linear / combinatorial foundation,Upper undergraduate / graduate,"Excellent foundations in LP, duality, simplex/interior methods, and discrete optimization thinking.",https://www.amazon.com/s?k=Introduction+to+Linear+Optimization+Dimitris+Bertsimas%2C+John+N.+Tsitsiklis,,No legal full text located,https://algorithmsbook.com/optimization/
8,Optimization,5,Algorithms for Optimization,"Mykel J. Kochenderfer, Tim A. Wheeler",Open computational path,Undergraduate / graduate,"Broad, implementation-oriented survey from gradient methods to stochastic and global optimization.",https://www.amazon.com/s?k=Algorithms+for+Optimization+Mykel+J.+Kochenderfer%2C+Tim+A.+Wheeler,https://algorithmsbook.com/optimization/,Full legal PDF / web,https://algorithmsbook.com/optimization/
9,Control + estimation,1,Feedback Systems: An Introduction for Scientists and Engineers,"Karl J. Åström, Richard M. Murray",Primary spine,Upper undergraduate,"A superb modern foundation in feedback, state space, frequency response, robustness, stability, design, and biological/engineering examples.",https://www.amazon.com/s?k=Feedback+Systems%3A+An+Introduction+for+Scientists+and+Engineers+Karl+J.+%C3%85str%C3%B6m%2C+Richard+M.+Murray,https://fbswiki.org/,Full legal web/PDF,https://fbswiki.org/
9,Control + estimation,2,Modern Control Engineering,Katsuhiko Ogata,Classical methods,Undergraduate,"Comprehensive classical control text with transfer functions, root locus, frequency methods, state-space design, and examples.",https://www.amazon.com/s?k=Modern+Control+Engineering+Katsuhiko+Ogata,,No legal full text located,https://fbswiki.org/
9,Control + estimation,3,Feedback Control of Dynamic Systems,"Gene F. Franklin, J. David Powell, Abbas Emami-Naeini",Engineering practice,Undergraduate,Strong design-oriented control treatment with realistic engineering examples and system intuition.,https://www.amazon.com/s?k=Feedback+Control+of+Dynamic+Systems+Gene+F.+Franklin%2C+J.+David+Powell%2C+Abbas+Emami-Naeini,,No legal full text located,https://fbswiki.org/
9,Control + estimation,4,Optimal State Estimation,Dan Simon,Estimation depth,Graduate / professional,"A practical deep treatment of Kalman filters, nonlinear estimation, smoothing, and implementation issues.",https://www.amazon.com/s?k=Optimal+State+Estimation+Dan+Simon,,No legal full text located,https://fbswiki.org/
9,Control + estimation,5,Applied Nonlinear Control,"Jean-Jacques E. Slotine, Weiping Li",Nonlinear control,Graduate,"Classic route into Lyapunov methods, nonlinear feedback, adaptive control, and robotics-oriented control.",https://www.amazon.com/s?k=Applied+Nonlinear+Control+Jean-Jacques+E.+Slotine%2C+Weiping+Li,,No legal full text located,https://fbswiki.org/
10,Information + signals,1,Elements of Information Theory,"Thomas M. Cover, Joy A. Thomas",Information theory spine,Graduate / advanced undergraduate,"Canonical treatment of entropy, mutual information, source/channel coding, typicality, rate-distortion, and network information.",https://www.amazon.com/s?k=Elements+of+Information+Theory+Thomas+M.+Cover%2C+Joy+A.+Thomas,,No legal full text located,https://www.inference.org.uk/itprnn/book.html
10,Information + signals,2,Signals and Systems,"Alan V. Oppenheim, Alan S. Willsky, S. Hamid Nawab",Signals spine,Undergraduate,"Core continuous/discrete LTI thinking, convolution, Fourier/Laplace/Z transforms, sampling, feedback, and state-space.",https://www.amazon.com/s?k=Signals+and+Systems+Alan+V.+Oppenheim%2C+Alan+S.+Willsky%2C+S.+Hamid+Nawab,,No legal full text located,https://ocw.mit.edu/courses/res-6-dtsp-discrete-time-signal-processing/
10,Information + signals,3,"Discrete-Time Signal Processing, 3rd ed.","Alan V. Oppenheim, Ronald W. Schafer",DSP depth,Upper undergraduate / graduate,"Canonical discrete-time filtering, transforms, spectral analysis, and multirate signal processing; full 3rd edition is now on MIT OCW.",https://www.amazon.com/s?k=Discrete-Time+Signal+Processing%2C+3rd+ed.+Alan+V.+Oppenheim%2C+Ronald+W.+Schafer,https://ocw.mit.edu/courses/res-6-dtsp-discrete-time-signal-processing/,Full open current edition,https://ocw.mit.edu/courses/res-6-dtsp-discrete-time-signal-processing/
10,Information + signals,4,"Information Theory, Inference, and Learning Algorithms",David J. C. MacKay,Inference bridge,Graduate / advanced undergraduate,"Beautiful unification of coding, Bayesian inference, statistical physics, and learning.",https://www.amazon.com/s?k=Information+Theory%2C+Inference%2C+and+Learning+Algorithms+David+J.+C.+MacKay,https://www.inference.org.uk/itprnn/book.html,Full legal author-hosted text,https://www.inference.org.uk/itprnn/book.html
10,Information + signals,5,"Fundamentals of Statistical Signal Processing, Vol. I: Estimation Theory",Steven M. Kay,Estimation reference,Graduate,"Core estimation bounds, MLE/MAP, linear models, Bayesian estimators, and signal-parameter inference.",https://www.amazon.com/s?k=Fundamentals+of+Statistical+Signal+Processing%2C+Vol.+I%3A+Estimation+Theory+Steven+M.+Kay,,No legal full text located,https://ocw.mit.edu/courses/res-6-dtsp-discrete-time-signal-processing/
11,Algorithms + software systems,1,Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",Algorithms reference,Undergraduate / graduate,"The broad reference for data structures, graph algorithms, dynamic programming, greedy methods, randomized algorithms, and complexity.",https://www.amazon.com/s?k=Introduction+to+Algorithms+Thomas+H.+Cormen%2C+Charles+E.+Leiserson%2C+Ronald+L.+Rivest%2C+Clifford+Stein,,No legal full text located,https://pages.cs.wisc.edu/~remzi/OSTEP/
11,Algorithms + software systems,2,Computer Systems: A Programmer's Perspective,"Randal E. Bryant, David R. O'Hallaron",Systems spine,Undergraduate,"Explains what software actually runs on: machine code, memory, caches, linking, processes, virtual memory, I/O, networking, concurrency.",https://www.amazon.com/s?k=Computer+Systems%3A+A+Programmer%27s+Perspective+Randal+E.+Bryant%2C+David+R.+O%27Hallaron,,No legal full text located,https://pages.cs.wisc.edu/~remzi/OSTEP/
11,Algorithms + software systems,3,Operating Systems: Three Easy Pieces,"Remzi H. Arpaci-Dusseau, Andrea C. Arpaci-Dusseau",Open OS spine,Undergraduate,"Conceptually clean treatment of virtualization, concurrency, persistence, and security, with projects and simulators.",https://www.amazon.com/s?k=Operating+Systems%3A+Three+Easy+Pieces+Remzi+H.+Arpaci-Dusseau%2C+Andrea+C.+Arpaci-Dusseau,https://pages.cs.wisc.edu/~remzi/OSTEP/,Free legal online chapters,https://pages.cs.wisc.edu/~remzi/OSTEP/
11,Algorithms + software systems,4,Structure and Interpretation of Computer Programs,"Harold Abelson, Gerald Jay Sussman, Julie Sussman",Abstraction / computation,Undergraduate,"Trains compositional thinking, interpreters, abstraction, state, streams, metalinguistic abstraction, and computational models.",https://www.amazon.com/s?k=Structure+and+Interpretation+of+Computer+Programs+Harold+Abelson%2C+Gerald+Jay+Sussman%2C+Julie+Sussman,https://mitpress.mit.edu/9780262510875/structure-and-interpretation-of-computer-programs/,Full open edition,https://mitpress.mit.edu/9780262510875/structure-and-interpretation-of-computer-programs/
11,Algorithms + software systems,5,Designing Data-Intensive Applications,Martin Kleppmann,Modern distributed systems,Professional / upper undergraduate,"Excellent synthesis of storage, replication, partitioning, streams, consistency, transactions, and distributed-data tradeoffs.",https://www.amazon.com/s?k=Designing+Data-Intensive+Applications+Martin+Kleppmann,,No legal full text located,https://pages.cs.wisc.edu/~remzi/OSTEP/
12,Scientific computing,1,Numerical Linear Algebra,"Lloyd N. Trefethen, David Bau III",Primary spine,Upper undergraduate / graduate,"Short, deep, and essential: conditioning, stability, QR, eigenproblems, Krylov methods, and the numerical meaning of linear algebra.",https://www.amazon.com/s?k=Numerical+Linear+Algebra+Lloyd+N.+Trefethen%2C+David+Bau+III,,No legal full text located,https://fncbook.com/
12,Scientific computing,2,Accuracy and Stability of Numerical Algorithms,Nicholas J. Higham,Numerical reliability,Graduate,"The definitive mindset for rounding error, conditioning, backward error, and why mathematically correct algorithms fail numerically.",https://www.amazon.com/s?k=Accuracy+and+Stability+of+Numerical+Algorithms+Nicholas+J.+Higham,,No legal full text located,https://fncbook.com/
12,Scientific computing,3,Scientific Computing: An Introductory Survey,Michael T. Heath,Broad reference,Upper undergraduate,"Wide-ranging treatment of numerical algebra, interpolation, integration, ODEs, PDEs, optimization, and computational tradeoffs.",https://www.amazon.com/s?k=Scientific+Computing%3A+An+Introductory+Survey+Michael+T.+Heath,,No legal full text located,https://fncbook.com/
12,Scientific computing,4,Numerical Analysis,Timothy Sauer,Methods / practice,Undergraduate,Accessible and comprehensive numerical methods with strong computational orientation.,https://www.amazon.com/s?k=Numerical+Analysis+Timothy+Sauer,,No legal full text located,https://fncbook.com/
12,Scientific computing,5,Fundamentals of Numerical Computation,"Tobin A. Driscoll, Richard J. Braun",Open computational spine,Undergraduate,"Excellent interactive open text spanning conditioning, linear systems, approximation, integration, ODEs, BVPs, and PDEs.",https://www.amazon.com/s?k=Fundamentals+of+Numerical+Computation+Tobin+A.+Driscoll%2C+Richard+J.+Braun,https://fncbook.com/,Full open web text,https://fncbook.com/
13,Mechanics + electromagnetism,1,Classical Mechanics,John R. Taylor,Mechanics spine,Undergraduate,"Clear route from Newtonian mechanics through oscillations, central forces, noninertial frames, Lagrangian and Hamiltonian methods.",https://www.amazon.com/s?k=Classical+Mechanics+John+R.+Taylor,,No legal full text located,https://www.feynmanlectures.caltech.edu/
13,Mechanics + electromagnetism,2,Introduction to Electrodynamics,David J. Griffiths,E&M spine,Undergraduate,"The standard conceptual route through vector calculus, electrostatics, magnetostatics, Maxwell's equations, waves, radiation, and relativity.",https://www.amazon.com/s?k=Introduction+to+Electrodynamics+David+J.+Griffiths,,No legal full text located,https://www.feynmanlectures.caltech.edu/
13,Mechanics + electromagnetism,3,Electricity and Magnetism,"Edward M. Purcell, David J. Morin",E&M depth / relativity,Undergraduate,Builds field intuition and connects magnetism to relativity unusually well.,https://www.amazon.com/s?k=Electricity+and+Magnetism+Edward+M.+Purcell%2C+David+J.+Morin,,No legal full text located,https://www.feynmanlectures.caltech.edu/
13,Mechanics + electromagnetism,4,An Introduction to Mechanics,"Daniel Kleppner, Robert Kolenkow",Mechanics problem depth,Undergraduate,Challenging mechanics problems that build genuine physical modeling ability.,https://www.amazon.com/s?k=An+Introduction+to+Mechanics+Daniel+Kleppner%2C+Robert+Kolenkow,,No legal full text located,https://www.feynmanlectures.caltech.edu/
13,Mechanics + electromagnetism,5,"University Physics, Volumes 1–3",OpenStax,Open comprehensive path,Undergraduate,"Legally free calculus-based physics sequence covering mechanics, waves, thermo, E&M, optics, relativity, quantum, and modern physics.",https://www.amazon.com/s?k=University+Physics%2C+Volumes+1%E2%80%933+OpenStax,https://openstax.org/details/books/university-physics-volume-1,Full open text,https://openstax.org/details/books/university-physics-volume-1
14,Thermodynamics + statistical mechanics,1,An Introduction to Thermal Physics,Daniel V. Schroeder,Primary spine,Undergraduate,"Best first serious thermal text for entropy, free energy, chemical potential, partition functions, quantum statistics, and real physical intuition.",https://www.amazon.com/s?k=An+Introduction+to+Thermal+Physics+Daniel+V.+Schroeder,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/kintheory/
14,Thermodynamics + statistical mechanics,2,Thermodynamics and an Introduction to Thermostatistics,Herbert B. Callen,Thermodynamic structure,Graduate / advanced undergraduate,"Axiomatic, elegant account of thermodynamics, equilibrium, potentials, stability, and Legendre transforms.",https://www.amazon.com/s?k=Thermodynamics+and+an+Introduction+to+Thermostatistics+Herbert+B.+Callen,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/kintheory/
14,Thermodynamics + statistical mechanics,3,Fundamentals of Statistical and Thermal Physics,Frederick Reif,Statistical mechanics depth,Upper undergraduate,Classic text connecting microscopic statistics to macroscopic thermodynamics with careful derivations.,https://www.amazon.com/s?k=Fundamentals+of+Statistical+and+Thermal+Physics+Frederick+Reif,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/kintheory/
14,Thermodynamics + statistical mechanics,4,Thermal Physics,"Charles Kittel, Herbert Kroemer",Compact advanced text,Upper undergraduate,"Dense, elegant treatment of entropy, temperature, chemical potential, and statistical mechanics.",https://www.amazon.com/s?k=Thermal+Physics+Charles+Kittel%2C+Herbert+Kroemer,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/kintheory/
14,Thermodynamics + statistical mechanics,5,Statistical Mechanics,"R. K. Pathria, Paul D. Beale",Graduate reference,Graduate,"Comprehensive graduate reference for ensembles, quantum statistics, phase transitions, and interacting systems.",https://www.amazon.com/s?k=Statistical+Mechanics+R.+K.+Pathria%2C+Paul+D.+Beale,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/kintheory/
15,Quantum + condensed matter,1,Introduction to Quantum Mechanics,"David J. Griffiths, Darrell F. Schroeter",Quantum primary spine,Undergraduate,"Standard first serious quantum text: wave mechanics, formalism, angular momentum, identical particles, perturbation, scattering.",https://www.amazon.com/s?k=Introduction+to+Quantum+Mechanics+David+J.+Griffiths%2C+Darrell+F.+Schroeter,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/quantum.html
15,Quantum + condensed matter,2,Principles of Quantum Mechanics,R. Shankar,Conceptual / mathematical depth,Upper undergraduate / graduate,Deep development of Hilbert-space formalism with substantial classical-mechanics and mathematical preparation.,https://www.amazon.com/s?k=Principles+of+Quantum+Mechanics+R.+Shankar,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/quantum.html
15,Quantum + condensed matter,3,Modern Quantum Mechanics,"J. J. Sakurai, Jim Napolitano",Graduate quantum,Graduate,"Canonical graduate route into symmetry, angular momentum, approximation, scattering, and relativistic quantum mechanics.",https://www.amazon.com/s?k=Modern+Quantum+Mechanics+J.+J.+Sakurai%2C+Jim+Napolitano,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/topicsinqm.html
15,Quantum + condensed matter,4,Introduction to Solid State Physics,Charles Kittel,Condensed-matter spine,Upper undergraduate,"Classic entry into crystal structures, phonons, electrons, semiconductors, magnetism, superconductivity, and solids.",https://www.amazon.com/s?k=Introduction+to+Solid+State+Physics+Charles+Kittel,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/aqm.html
