#,Wave,Artifact,Type,Minimum evidence,Disclosure,Reviewer,Pass test
24,Wave 3,Integrated frontier system,System closure,Domain capstone carrying result through relevant physical/data/operational constraints.,Public or partially redacted,Cross-domain panel,No hidden magical subsystem.
25,Wave 3,Frontier research paper,Paper,"Abstract, methods, results, negative results, limitations, reproducibility, cost/compute/materials.",Public,External reviewer,Claims match evidence.
26,Wave 4,Historical/source claim ledger,Human-systems analysis,"Primary/secondary sources, competing account, changed conclusion.",Public,Historian/source critic,Contrary evidence creates material revision.
27,Wave 4,Objective/power/institution audit,Governance,"Objectives, stakeholders, decision rights, vetoes, recourse, distributional effects.",Public,Policy/institution reviewer,Changes system design or deployment conditions.
28,Wave 4,Incident/drift reconstruction,Organizational safety,"Escalation timeline, weak signals, authority, normalization and control structure.",Public,Safety/org reviewer,Produces leading indicators/stop-work changes.
29,Wave 4,Wicked-problem portfolio,Governance/decision,"Multiple formulations, incompatible values, reversible portfolio, monitoring and reformulation.",Public,Mixed panel,Does not pretend one scalar objective resolves contested values.
30,Wave 4,Conflict/design-review record,Communication,"Recorded/annotated disagreement, interests, evidence, decision and unresolved issues.",Private or consented,Peer/team reviewer,Clarity increases even if consensus does not.
31,Wave 4,Economics and real-options model,Economics/capital,"Bottom-up cost, sensitivity, staged investment, abandonment/pivot option.",Public/redacted,Finance/ops reviewer,Technical priority changes under economics when appropriate.
32,Wave 4,Compliance/standards matrix,Regulation,"Primary authority, requirement, evidence, owner, verification and update trigger.",Public/redacted,Domain compliance reviewer,Legal minimum distinguished from safety/ethics.
33,Wave 4,Reproducible public release,Research integrity,"Clean-environment reproduction package, data provenance, limitations and negative-results appendix.",Public,Independent reproducer,Central result reproduced without oral help.
34,Wave 4,Lab/company constitution,Institution design,"Mission/non-goals, decision rights, review cadence, stop-work, conflict and evidence standards.",Public,Leadership/institution reviewer,Protects dissent/evidence when founder/PI is wrong.
35,Final,136-week dossier + 12-month program,Integration,"Selected best artifacts, thesis, strongest objections, uncertainty, research agenda, kill/pivot criteria.",Public,Three-person adversarial panel,You can explain what not to build and why.
