Rank,Frontier technology,Class,Primary track,Secondary,Highest-leverage Wave-1 foundations,Highest-leverage Wave-2 substrates,Dominant bottleneck,Proof-of-work seed,Status
11,Regenerative medicine,B,BIO,NEU,"W1 dynamics, causal","W2 cell biology, physiology, materials, safety","Cell-state control, integration, overgrowth, manufacturing",Tissue/state-transition model + transport/safety evidence plan,Unstarted
12,AI materials scientist,B,MAT,AI-AS,W1 ML/optimization/metrology,"W2 quantum, chemistry, materials","Data/model bias, synthesis, characterization",Materials Project active-learning loop with OOD validation,Unstarted
13,Advanced nuclear fission,A,ENE,MAT,W1 dynamics/control/probability,"W2 thermo, materials, safety/manufacturing","Construction, fuel, regulation, passive safety",Point-kinetics + thermal-hydraulic + plant economics conceptual model,Unstarted
14,Robot factories / highly automated manufacturing,B,ROB,AI-AS,W1 control/optimization,"W2 robotics, manufacturing, reliability","Flexibility, downtime, QA, economics","Robotic cell with queueing, rework and maintenance",Unstarted
15,Additive manufacturing / primitive matter printers,A,MAT,ROB,W1 numerical/optimization,"W2 materials, mechanical design, manufacturing","Material properties, throughput, qualification",Process→microstructure→property→yield model,Unstarted
16,Long-duration energy storage,B,ENE,MAT,W1 optimization/dynamics,"W2 thermo, chemistry/materials, manufacturing","Cost, lifetime, efficiency, materials",Technology-neutral storage system trade study,Unstarted
17,Universal translator,A,AI-AS,NEU,W1 probability/information,W2 optional neuro/human factors,"Low-resource languages, context, cultural meaning, latency",Multilingual eval with ambiguity/context and human correction,Unstarted
18,Artificial organs,B,BIO,NEU,W1 dynamics/control,"W2 physiology, materials, manufacturing, safety","Dynamic regulation, integration, durability",Artificial-organ control-volume + homeostasis model,Unstarted
19,Medical robots / automated surgery,B,ROB,NEU / AI-AS,W1 control/estimation,"W2 robotics, physiology, safety","Perception, tissue interaction, certification, human oversight",Simulated surgical-like manipulation task with force/safety constraints,Unstarted
20,Personal AI / exocortex,A,AI-AS,NEU,"W1 information, causal, security",W2 human factors/security,"Memory/privacy/dependence, objective alignment","Personal knowledge agent with provenance, memory boundaries and adversarial privacy audit",Unstarted
21,Organoids / miniature artificial tissues,B,BIO,NEU,W1 dynamics/metrology,"W2 cell biology, materials, physiology","Vascularization, reproducibility, model validity",Diffusion/consumption model + measurement/QC plan,Unstarted
22,Personalized genomic medicine,A,BIO,AI-AS,W1 probability/causal,W2 genetics/physiology/safety,"Effect heterogeneity, interpretation, privacy",Genotype→risk decision model with calibration and causal caveats,Unstarted
23,AI drug discovery,B,AI-AS,BIO / MAT,W1 ML/causal/optimization,W2 chemistry/biology/metrology,"Translation, assay validity, synthesis, safety",Active-learning molecular/toy assay search with hidden test,Unstarted
24,Advanced prosthetic limbs,A,NEU,ROB,W1 control/signals,"W2 mechanics, electronics, physiology","Comfort, sensory feedback, control, durability",Closed-loop prosthetic joint model with human/adaptation component,Unstarted
25,Neural prostheses,B,NEU,ROB,W1 estimation/control,W2 neuroscience/electronics/safety,"Interface stability, adaptation, biocompatibility",Neural decoder/controller with drift and safe fallback,Unstarted
26,Speech/motor brain-computer interfaces,A,NEU,AI-AS,W1 signals/information,W2 neuroscience/electronics,"Long-term stability, home use, latency",Public/synthetic BCI decoder evaluated across sessions/drift,Unstarted
27,Powered exoskeletons,A,ROB,NEU,W1 dynamics/control,W2 structures/electronics/physiology,"Power, ergonomics, balance, safety",Human-in-loop exoskeleton joint model,Unstarted
28,Cultured/synthetic food,A,BIO,MAT,W1 optimization/metrology,"W2 cell biology, thermo, manufacturing","Cost, media/feedstocks, contamination, texture",Bioreactor mass/energy/QC scale model,Unstarted
29,Agricultural robots,A,ROB,AI-AS,W1 control/perception basics,W2 robotics/manufacturing,"Outdoor robustness, cost, crop variability",Field-robot simulation with sensing and maintenance economics,Unstarted
30,Self-driving freight and logistics,A,ROB,AI-AS,W1 probability/control/optimization,W2 safety/manufacturing,"Edge cases, infrastructure, liability",Fleet dispatch + autonomous vehicle failure simulation,Unstarted
31,Hazardous-work robots,A,ROB,AI-AS,W1 control/reliability,W2 structures/electronics/safety,"Robustness, teleoperation/autonomy, maintainability",Robot for constrained hazardous scenario with degraded sensing,Unstarted
32,Automated construction,B,ROB,MAT,W1 control/optimization,W2 structures/manufacturing,"Site variability, tolerances, regulation",Robotic construction cell + structural QC model,Unstarted
33,Eldercare/service robots,B,ROB,NEU / AI-AS,W1 control/inference,W2 human physiology/safety,"Trust, manipulation, cost, reliability",Home-task robot with human-in-loop failure/recourse design,Unstarted
34,Advanced cyberdefense AI,B,AI-AS,ROB,W1 algorithms/probability,W2 security/reliability,"Adversarial adaptation, false positives, autonomy limits",Sandbox defender benchmark with immutable evaluator and attack simulation,Unstarted
35,Self-healing materials,B,MAT,ROB,W1 dynamics/metrology,W2 materials/chemistry/manufacturing,"Mechanism, repeatability, fatigue, cost",Damage-state + healing kinetics/reliability model,Unstarted
36,Smart materials,B,MAT,ROB,W1 control/dynamics,W2 condensed matter/materials,"Actuation range, fatigue, manufacturing",Constitutive model + device figure-of-merit,Unstarted
37,Augmented reality,A,AI-AS,NEU,W1 signals/information,W2 electronics/human physiology,"Display ergonomics, perception, social effects",Latency/registration/user-utility experiment,Unstarted
38,Virtual reality for training/therapy,A,NEU,AI-AS,W1 causal/statistics,W2 human physiology,"Transfer, cybersickness, efficacy",Target-trial/evaluation design + sensorimotor latency model,Unstarted
39,High-quality telepresence,A,AI-AS,NEU,W1 information/signals,W2 electronics,"Bandwidth, latency, embodiment",End-to-end latency/codec/user-task model,Unstarted
40,Holographic/spatial interfaces,B,NEU,MAT / AI-AS,W1 signals,W2 optics/condensed matter/electronics,"Display physics, compute, capture",Wave/optics sampling model + interaction latency,Unstarted
41,Advanced geothermal energy,A,ENE,MAT,W1 PDE/optimization,W2 thermo/fluids/materials,"Drilling, reservoir, induced seismicity, cost",Heat/reservoir/plant economics model,Unstarted
42,Fusion power,B,ENE,MAT,W1 dynamics/control/numerics,"W2 EM, thermo, materials, safety","Confinement, heat exhaust, materials, tritium, economics",Integrated 0-D plant model + diagnostics/control,Unstarted
43,Next-generation batteries,B,MAT,ENE,W1 optimization/metrology,W2 electrochemistry/materials,"Interfaces, cycle life, safety, scale",Materials→cell→pack→manufacturing chain,Unstarted
44,Synthetic-biology manufacturing,B,BIO,ROB,W1 causal/optimization,W2 biology/manufacturing/safety,"Yield, evolution, contamination, scale",Bioprocess dynamics/QC/manufacturing model,Unstarted
45,Engineered microbes for environmental remediation,B,BIO,MAT,W1 causal/dynamics,W2 ecology/evolution/safety,"Containment, evolution, ecosystem effects",Simulation-only ecosystem/containment model,Unstarted
46,Nanomedicine,B,MAT,BIO / NEU,W1 probability/metrology,W2 materials/biology/physiology,"Delivery, clearance, specificity, manufacturing",Transport/targeting/clearance model,Unstarted
47,Bioprinting organs,B,BIO,MAT / ROB,W1 control/metrology,W2 tissue transport/materials/manufacturing,"Vascularization, maturation, QC",Print geometry + diffusion/perfusion + quality plan,Unstarted
48,Broad-spectrum antiviral platforms,B,BIO,AI-AS,W1 causal/statistics,W2 molecular biology/evolution,"Resistance, breadth, safety",Evolution/target-conservation computational model,Unstarted
49,Healthspan/rejuvenation therapies,B,BIO,NEU,W1 causal/longitudinal stats,W2 cell biology/physiology,"Mechanisms, biomarkers, long horizons",Hallmarks causal graph + surrogate-failure simulation,Unstarted
50,"Closed-loop water, waste and air systems",A,SPA,BIO / ENE,W1 control/dynamics,W2 thermo/fluids/biology/reliability,"Reliability, contamination, maintenance",Habitat life-support stock-flow model,Unstarted
51,Controlled-environment agriculture,A,BIO,SPA / ROB,W1 control/optimization,W2 biology/thermo/manufacturing,"Energy, nutrients, disease, economics",Growth-environment control and unit-economics model,Unstarted
52,Programmable matter—primitive forms,B,MAT,ROB,W1 control/information,W2 materials/electronics/manufacturing,"Actuation density, power, coordination",Modular reconfigurable swarm simulation,Unstarted
53,Quantum computers for useful niches,B,AI-AS,MAT,W1 linear algebra/probability,W2 quantum/condensed matter,"Error correction, algorithms, hardware scaling",Small quantum algorithm/noise/resource analysis,Unstarted
54,Room-temperature/ambient-pressure superconductivity,B,MAT,ENE,W1 metrology/statistics,W2 condensed matter/materials,Discovery and reproducible evidence,Extraordinary-claim verification protocol,Unstarted
55,Artificial-womb technology,B,BIO,NEU,W1 control/causal,W2 physiology/materials/safety,"Developmental biology, interfaces, ethics",System requirements/physiology/control abstraction; no clinical protocol,Unstarted
56,Sensory augmentation,B,NEU,AI-AS,W1 information/signals,W2 neuroscience/electronics,"Learnability, bandwidth, adaptation",Synthetic sensory remapping closed-loop study,Unstarted
57,Memory prostheses,B,NEU,AI-AS,W1 estimation/information,W2 neuroscience,"Mechanism, state representation, long-term effects",Memory-system observability/state-model exercise,Unstarted
58,Non-invasive neural interfaces,B,NEU,MAT / AI-AS,W1 signals/statistics,W2 neuroscience/materials,"Signal-to-noise, spatial specificity",Measurement/information bound and decoder study,Unstarted
59,Brain-to-brain communication,D,NEU,AI-AS,W1 information/causal,W2 neuroscience,"Encoding/decoding meaning, bandwidth, ethics",Information-channel decomposition and feasibility bound,Unstarted
60,Morphological freedom/customizable bodies,D,BIO,NEU / MAT,W1 causal/safety,W2 development/physiology/materials,"Developmental complexity, safety, identity",Capability decomposition and biological constraint map,Unstarted
61,Cheap reusable orbital transportation,B,SPA,ENE / MAT,W1 dynamics/optimization,W2 mechanics/thermo/materials/manufacturing,"Reliability, turnaround, propulsion, economics",Mass/energy/turnaround unit-economics model,Unstarted
62,Space tugs and orbital logistics,B,SPA,ROB,W1 control/optimization,W2 mechanics/electronics/reliability,"Rendezvous, propulsion, refueling, economics",Orbital logistics network simulation,Unstarted
63,Satellite servicing and refueling,B,SPA,ROB,W1 control/estimation,W2 robotics/spacecraft systems,"Interfaces, autonomy, standards",ISAM servicing task architecture + verification,Unstarted
64,In-space assembly,B,SPA,ROB,W1 control,W2 robotics/structures/manufacturing,"Precision, metrology, autonomy",Robotic assembly tolerance/error propagation model,Unstarted
65,In-space manufacturing,B,SPA,MAT / ROB,W1 optimization/metrology,W2 materials/manufacturing/thermal,"Process value, quality, economics",Orbital process cell with yield/thermal/logistics model,Unstarted
66,Self-repairing spacecraft,B,SPA,ROB / MAT,W1 reliability/control,W2 robotics/materials/manufacturing,"Diagnosis, spares, repairability",Fault detection + repair/spares availability simulation,Unstarted
67,Autonomous interplanetary robots,B,SPA,ROB / AI-AS,W1 agents/control,W2 robotics/reliability,"Latency, autonomy, radiation/thermal",Delayed-comms autonomous rover/manipulator model,Unstarted
68,Lunar robotic industry,B,SPA,ROB / MAT,W1 optimization/control,W2 robotics/manufacturing/materials,"Dust, energy, repair, resource processing",Lunar resource→product industrial chain,Unstarted
69,Permanent lunar base,C,SPA,BIO / ENE,W1 systems/control,W2 life support/structures/manufacturing,"Logistics, radiation, maintenance, economics",Integrated habitat/resource/logistics budget,Unstarted
70,Asteroid prospecting,B,SPA,MAT / ROB,W1 estimation/optimization,W2 spacecraft/robotics/materials,"Resource inference, mission cost",Value-of-information prospecting mission model,Unstarted
71,Asteroid mining,C,SPA,ROB / MAT,W1 optimization,W2 resource processing/manufacturing,"Handling, processing, transport economics",Microgravity process plant + logistics model,Unstarted
72,Rotating artificial-gravity habitats,C,SPA,MAT,W1 dynamics/control,W2 structures/physiology/manufacturing,"Scale, structures, human factors",Spin-gravity/structure/control trade study,Unstarted
73,Orbital habitats,C,SPA,BIO / ENE,W1 systems,W2 life support/structures/reliability,"Closed loops, radiation, logistics",Habitat system budget + failure recovery,Unstarted
74,O'Neill-style cylinders,C,SPA,BIO / MAT,W1 dynamics/systems,W2 structures/ecology/manufacturing,"Industrial scale, ecology, governance",Cylinder dependency graph + structural/ecology budget,Unstarted
75,Permanent Mars settlement,C,SPA,BIO / ENE,W1 systems/causal,W2 life support/structures/manufacturing,"Radiation, logistics, maintenance, economics",Settlement mass/energy/spares/production model,Unstarted
76,Nuclear thermal/electric deep-space propulsion,B,SPA,ENE,W1 dynamics/control,W2 nuclear/thermal/materials,"Power density, heat, materials, regulation",Trajectory + reactor/power/thermal model,Unstarted
77,Fusion propulsion,C,ENE,SPA,W1 dynamics/control,W2 fusion/materials,"Specific power, confinement, heat, mass",Propulsion performance/system-mass feasibility model,Unstarted
78,Laser-sail interstellar probes,C,SPA,ENE / MAT,W1 dynamics/control/information,W2 optics/materials,"Beam pointing, sail materials, comms",Beam/sail pointing/error/communication budget,Unstarted
79,Reversible human torpor/suspended animation,B,BIO,NEU / SPA,W1 causal/physiology dynamics,W2 physiology/cell biology/safety,"Mechanism, organ protection, recovery",Physiology/control/risk decomposition; no medical protocol,Unstarted
80,High-quality organ/brain cryopreservation,B,BIO,NEU / MAT,W1 metrology/causal,W2 thermo/materials/biology,"Ice/vitrification damage, scale, validation",Heat/transport/damage/measurement conceptual model,Unstarted
81,De-extinction,B,BIO,SPA,W1 causal/evolution,W2 genetics/ecology,Genome/development/ecosystem effects,Genome→organism→population→ecosystem dependency map,Unstarted
82,Engineered artificial ecosystems,B,BIO,SPA,W1 dynamics/control,W2 evolution/ecology,"Robustness, adaptation, containment",Eco-evolutionary closed-loop simulation,Unstarted
83,Living buildings / biological machinery,B,BIO,MAT / ROB,W1 dynamics/control,W2 biology/materials/manufacturing,"Durability, interfaces, evolution",Biohybrid system architecture + maintenance model,Unstarted
84,Bounded self-replicating factories,C,ROB,AI-AS / SPA,W1 proof/control/reliability,W2 manufacturing/materials/security,"Closure, error, containment",BOM closure + replication fidelity + immutable constraints,Unstarted
85,Molecular assemblers,D,MAT,ROB,W1 control/information,W2 chemistry/materials/manufacturing,"Mechanism, thermal noise, error, throughput",Lower-bound error/energy/throughput model,Unstarted
86,Medical nanorobots,D,MAT,BIO / NEU,W1 control/information,W2 nano/materials/physiology,"Power, navigation, specificity, manufacturing",Physically plausible micro/nano mechanism comparison,Unstarted
87,Utility-fog-like reconfigurable swarms,D,ROB,MAT / AI-AS,W1 control/distributed systems,W2 robotics/materials,"Power, communication, mechanical interconnects",Large modular swarm simulation with failure scaling,Unstarted
88,Full-dive neural VR,D,NEU,AI-AS,W1 information/control,W2 neuroscience,"Bidirectional bandwidth, specificity, safety",Neural information/stimulation requirement bound,Unstarted
89,Artificial whole-body replacements,D,BIO,NEU / ROB,W1 systems/control,W2 physiology/materials/robotics,"Integration, regulation, brain/body interface",Whole-body function dependency map,Unstarted
90,Strong age reversal/negligible senescence,D,BIO,NEU,W1 causal,W2 aging biology/physiology,"Mechanisms, cancer/immune tradeoffs, validation",Mechanism-evidence map + longitudinal endpoint model,Unstarted
91,Whole-brain emulation,D,NEU,AI-AS,W1 information/numerics,W2 neuroscience,"Measurement fidelity, model sufficiency, validation",State-resolution/computational/validation budget,Unstarted
92,Mind uploading,D,NEU,AI-AS,W1 information/philosophical identity,W2 neuroscience,"Consciousness/identity, measurement, emulation",Assumption tree separating functional emulation from personal identity claims,Unstarted
93,Digital persons,D,AI-AS,NEU,W1 agents/information,W2 security/human systems,"Consciousness/personhood, rights, continuity",Personhood/governance + technical capability criteria,Unstarted
94,Safe superintelligence,D,AI-AS,All,W1 proof/causal/control,W2 safety/security + W4 institutions,"Alignment, verification, power, governance",Bounded self-improving agent with external evaluator + governance case,Unstarted
95,Large-scale climate engineering,C,ENE,BIO / SPA,W1 causal/dynamics/control,W2 climate/chemistry/ecology later,"Deep uncertainty, reversibility, geopolitics",Multi-model intervention portfolio with stop conditions,Unstarted
96,Artificial planetary magnetospheres/planetary engineering,C,SPA,ENE,W1 EM/dynamics,W2 plasma/materials,"Scale, energy, space infrastructure",Field/energy/structure feasibility model,Unstarted
97,Terraforming primitives,C,SPA,BIO / ENE,W1 dynamics/causal,W2 atmosphere/ecology/manufacturing,"Timescale, irreversibility, evolution",Planetary stock-flow/ecosystem intervention model,Unstarted
98,Space elevator,C,SPA,MAT,W1 mechanics/optimization,W2 structures/materials/manufacturing,"Material strength, dynamics, debris, construction",Taper/stress/material requirement model,Unstarted
99,Orbital ring,C,SPA,MAT / ENE,W1 dynamics/control,W2 structures/materials,"Megastructure control, construction, debris",Dynamic/stress/control conceptual feasibility model,Unstarted
100,Dyson-swarm precursor economy,C,SPA,ROB / MAT / ENE,W1 systems/optimization,W2 energy/manufacturing/reliability,"Self-expanding industry, logistics, governance",Solar-industrial replication/unit-economics model,Unstarted
