Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
11,Characterization,Microscopy/spectroscopy and multiscale evidence,MIT 3.091 + characterization survey,Connect spatial/chemical/structural probes to microstructure/property claims.,Map measurement resolution/volume to defect length scales.,Create characterization plan for grain-boundary-controlled material.,No single instrument sees 'the material'; each samples scales/contrasts.,What feature could be invisible to your chosen measurement?,Pass if cross-validation across modalities is designed.,https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
12,Replication,Reproduce a Materials Project trend,MP API + methodology,Verify a computed materials trend and its methodological caveats.,Rebuild candidate-selection criteria and one computed descriptor.,Replicate published/database trend across a material family and compare to available experiment.,MP exists to accelerate materials discovery through public computed property data.,Where is computation systematically biased?,Replication Gate: notebook + provenance + experimental cross-check where available.,https://docs.materialsproject.org/,Not Started
13,Electrochemistry,Battery materials and interfaces,Chem/materials core + MP battery-relevant properties,"Connect voltage, capacity, diffusion, phase stability and interfaces to cell behavior.",Derive intercalation voltage from free-energy difference intuition.,Screen cathode/electrolyte candidates; build simple cell-level energy/degradation model.,"Battery gains require interfaces, safety and manufacturing beyond bulk energy density.",Which bulk-property improvement is erased at cell/pack level?,Pass if candidate is evaluated at material and device levels.,https://docs.materialsproject.org/,Not Started
14,Catalysis,Catalysts and surface energetics,MP surface/adsorption methodology + physical chemistry,"Understand adsorption, activation barriers, selectivity and catalyst stability.",Derive Sabatier-volcano qualitative tradeoff.,Create toy catalyst screening with activity/selectivity/stability multiobjective score.,Catalyst discovery is constrained optimization over competing mechanisms.,Why is strongest binding usually not best?,Pass if selectivity and degradation are not omitted.,https://docs.materialsproject.org/methodology/materials-methodology,Not Started
15,Functional materials,"Semiconductors, dielectrics, piezoelectrics, magnetics",Materials Project property methodology,"Map band gaps, dielectric/piezo/magnetic properties to devices.",Derive simple device figure of merit from material constants.,Query MP for a functional-material family and construct Pareto frontier.,Materials databases expose many computed device-relevant properties.,Which figure of merit is incomplete at device/manufacturing scale?,Pass if screening includes stability/abundance constraints.,https://docs.materialsproject.org/methodology/materials-methodology,Not Started
16,Frontier,Superconductivity and extraordinary claims,Solid-state theory + rigorous characterization,Understand signatures/constraints without pretending current theory predicts high-Tc materials reliably.,Regenerate zero-resistance vs Meissner distinction and critical field/current concepts.,Write preregistered verification protocol for claimed ambient superconductor.,The target is scientifically open; evidence standards must be unusually strong.,What mundane artifact could mimic each claimed signature?,Pass if protocol includes independent replication and sample provenance.,https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
17,Processing,Processing–structure–property,MIT 3.091 phase/kinetics + Wave-2 manufacturing,Treat synthesis/annealing/deposition as state-control of microstructure.,Derive diffusion/process-time scaling and nucleation/growth intuition.,Optimize a virtual heat-treatment/process schedule for target microstructure/property.,A computational candidate that cannot be synthesized reproducibly is not a technology.,Which process variable controls variance rather than mean property?,Pass if process window and measurement plan are specified.,https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
18,Scale,"Manufacturability, supply and reliability",Wave-2 manufacturing + materials constraints,"Integrate yield, purity, critical minerals, recycling and lifetime.",Compute material intensity per GWh/million devices and sensitivity to yield.,Scale candidate material to 10k/1M units; identify precursor/purity/thermal/process bottleneck.,Materials innovation can shift bottlenecks into supply chains.,What happens if the rarest element becomes 10× more expensive?,Pass if substitute/recycling path is evaluated.,https://docs.materialsproject.org/,Not Started
19,Research,Failure and uncertainty map,All track work,"Rank computational, synthesis, characterization and lifetime uncertainties.",Construct Bayesian/causal dependency graph from composition/process → structure → property → device.,Run sensitivity/value-of-information analysis to choose next measurement.,"High leverage often comes from resolving uncertainty, not searching more candidates.",What experiment most changes your decision?,Pass if next step is chosen quantitatively.,https://docs.materialsproject.org/methodology/materials-methodology,Not Started
20,Research,Reproduce a current materials paper/workflow,Choose open computational/experimental paper + MP data,Practice reproducible materials science.,"Reconstruct structure, method, characterization and claimed mechanism.",Replicate computed trend or public data analysis; challenge with alternate functional/split/metric.,Current materials research is increasingly data/workflow intensive.,Which conclusion survives method changes?,Extension Gate: reproduction + one countermodel/alternative explanation.,https://docs.materialsproject.org/data-production/data-workflows,Not Started
21,Research,Closed-loop discovery prototype,MP API + surrogate/active-learning stack,"Integrate candidate generation, prediction, uncertainty and acquisition.",Regenerate decision loop and stopping rule.,Build autonomous computational materials-discovery loop on bounded search space.,This is a safe analog of an autonomous lab before real synthesis.,How do you detect that the loop is exploiting model/database artifacts?,Pass if hidden 'ground truth' benchmark exposes and measures exploitation.,https://docs.materialsproject.org/downloading-data/using-the-api/getting-started,Not Started
22,Research,Mechanism-focused extension,Selected material system,Move beyond leaderboard property prediction to mechanistic hypothesis.,Write mechanism + discriminating observation.,Add descriptor/physics constraint/measurement simulation testing mechanism.,Industry-leading materials work couples prediction to explanatory measurement.,What observation would force a different mechanism?,Pass if hypothesis makes risky prediction.,https://docs.materialsproject.org/,Not Started
23,Capstone,New-material design dossier,All track sources,Produce candidate → computation → synthesis concept → characterization → device → scale chain.,Reconstruct full processing–structure–property–performance argument.,Capstone material family for battery/catalyst/semiconductor/smart material with reproducible screening.,No 'miracle material' claim without evidence ladder.,Which link in the chain is least verified?,Systems Gate: computational + experimental + manufacturing reviewers.,https://docs.materialsproject.org/,Not Started
24,Capstone,Research program and kill criteria,All sources,Define experiments and milestones that could rapidly falsify the program.,"Write top hypotheses, predicted signatures, null models and value-of-information ordering.",Paper/notebook + candidate database + characterization plan + scale/cost/supply model + 12-month roadmap.,Good materials programs kill bad candidates early.,What result makes you stop working on this material?,"Capstone Gate: defend novelty, evidence, manufacturability and falsifiability.",https://docs.materialsproject.org/,Not Started
