Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
13,Industry,"ISAM: servicing, assembly and manufacturing",NASA Goddard ISAM 2026 overview,"Understand refueling, repair, assembly and manufacturing as infrastructure multipliers.","Backchain ISAM task into rendezvous, manipulation, metrology, tooling, verification.",Design robotic servicing/assembly mission architecture with task decomposition and tolerances.,NASA's current ISAM office aims to make servicing/assembly/manufacturing routine in space architectures.,Which tasks are easier to redesign the client spacecraft for than automate?,Pass if interface standardization and inspection are included.,https://etd.gsfc.nasa.gov/capabilities/in-space-servicing-assembly-and-manufacturing/,Not Started
14,Industry,Orbital manufacturing economics,Manufacturing/operations + launch/space environment,"Compare Earth launch vs in-space production using mass, yield, energy, quality and logistics.",Derive break-even condition for in-space manufacture versus launch.,Cost model for one candidate product/structure; sensitivity to launch and yield.,Not every zero-g manufacturing idea has economic value.,What unique space process justifies the logistics premium?,Pass if terrestrial alternative is modeled fairly.,https://etd.gsfc.nasa.gov/capabilities/in-space-servicing-assembly-and-manufacturing/,Not Started
15,Industry,Lunar resources and industrial closure,Systems/materials/manufacturing + lunar environment,"Build resource chain from prospecting to excavation, processing, power, storage and product use.",Regenerate mass/energy/process balance for a multi-step industrial chain.,"Concept ISRU chain for oxygen, water or structural material with equipment/spares model.",Lunar industry is a coupled process plant and logistics problem.,Which imported consumable prevents closure?,Pass if 'local resource' is not assumed usable without processing energy/equipment.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
16,Industry,"Reliability, repair and spares",NASA SE + Wave-2 reliability/manufacturing,Design maintainable systems where resupply/repair delay is high.,Derive availability with repair/spares and reliability growth concept.,Monte Carlo fleet/spares simulation for lunar/orbital robots.,Off-world industry must repair itself much more than terrestrial demos.,What component makes the system effectively single-use?,Pass if spares/manufacturing/repair strategy meets mission availability.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
17,Habitats,Life support and closed-loop resources,Thermo/biology/physiology core + systems budgets,"Track air, water, food/waste, heat and biological loads in closed habitats.",Derive stock-flow balance and redundancy/recovery requirements.,Simulate habitat resource loops under crew and equipment failures.,Habitats convert ecological/physiological processes into engineered life-critical systems.,Which loop can tolerate graceful degradation and which cannot?,Pass if emergency reserve/recovery times are quantified.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
18,Habitats,Artificial gravity and large rotating structures,Mechanics/structures + habitat systems,"Design rotating gravity while considering structural stress, Coriolis and operational interfaces.",Derive g=ω²r and hoop-stress scaling for rotating ring/cylinder simplification.,Sweep radius/rpm/material for habitat; include docking/bearing/control challenge.,O'Neill-style habitats are known-physics but enormous systems/manufacturing problems.,Which constraint sets minimum practical radius?,Pass if human/structural/control tradeoffs share one model.,https://ocw.mit.edu/courses/16-61-aerospace-dynamics-spring-2003/,Not Started
19,Research,Frontier bottleneck/value-of-information map,All track models,"Rank launch, autonomy, power, thermal, materials, ISAM, life support, reliability and economics.",Build dependency/sensitivity graph and mission expected-value model.,Monte Carlo concept architecture; compute which uncertain parameter changes mission selection.,Good space research targets architecture-changing uncertainties.,What knowledge is worth flying a precursor mission to acquire?,Pass if a precursor measurement has quantified decision value.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
20,Research,Reproduce an open mission/propulsion/ISAM result,MIT OCW/NASA/NTRS open technical report,Practice aerospace technical reproduction.,"Reconstruct assumptions, units, margins and validation evidence.","Reproduce central trajectory, propulsion, thermal or architecture calculation.",Space engineering is unusually documentation-rich and therefore reproducible.,Where is margin convention doing hidden work?,Extension Gate: reproduce + one updated 2026 sensitivity.,https://ocw.mit.edu/courses/16-522-space-propulsion-spring-2015/,Not Started
21,Research,Independent architecture extension,Selected bottleneck,Propose minimal technology/architecture change with system-wide effect.,Write change propagation across mass/power/thermal/reliability/cost.,Implement architecture variant and compare against baseline over uncertainties.,Systems improvements must close at mission level.,Which subsystem 'improvement' makes another budget worse?,Pass if total mission objective improves after rebalancing.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
22,Safety/governance,"Space safety, debris, autonomy and mission assurance",NASA standards/SE + safety core,"Integrate collision/debris, autonomy, human safety, planetary environment and mission assurance.",Build hazard/control/operational-rule model.,"Red-team capstone architecture with conjunction, comms loss, failed repair, software update and resource shortage.",Off-world autonomy raises permission and failure-recovery questions.,Which failure externalizes risk onto other spacecraft or future missions?,Pass if operational constraints include externalities.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
23,Capstone,Off-world industrial system,All track sources,"Integrate mission, spacecraft, robots, power, process, logistics, repair, systems engineering and economics.","Regenerate architecture, budgets, requirements and verification map.","Capstone: orbital factory, lunar industrial node, asteroid prospecting/mining precursor or habitat subsystem.","No unexplained mass, energy, maintenance or communications.",What resource/repair dependency prevents self-sustaining operation?,Systems Gate: astrodynamics + subsystem + operations/economics + safety reviewers.,https://etd.gsfc.nasa.gov/capabilities/in-space-servicing-assembly-and-manufacturing/,Not Started
24,Capstone,Program review and staged roadmap,NASA SE + current ISAM,Produce TRL/staged demonstration roadmap with precursor missions and kill criteria.,Write requirement/verification matrix and learning milestones.,"Final concept review: technical report, executable budgets/model, risk register, test/demo plan, 12-month research agenda.",NASA's current ISAM work demonstrates infrastructure maturity is a staged capability-building process.,What cheapest Earth/orbit test would falsify your key assumption?,Capstone Gate: PDR-style oral review with independent systems engineer.,https://etd.gsfc.nasa.gov/capabilities/in-space-servicing-assembly-and-manufacturing/,Not Started
