Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
11,Agents,Multi-agent orchestration,Anthropic 2025 multi-agent research engineering report,"Understand orchestrator–worker decomposition, parallelism, context partitioning, coordination cost and economics.","Derive a simple expected-value model for parallel agents including cost, overlap and failure probability.",Build 3–5-agent research swarm on a benchmark with independent subproblems; compare single-agent quality/cost.,Anthropic reports multi-agent research excels on breadth-first parallelizable tasks but costs many more tokens.,When does adding agents reduce performance?,Pass if you identify a task class where multi-agent is worse and explain why.,https://www.anthropic.com/engineering/multi-agent-research-system,Not Started
12,Agents,Agent evaluation and falsification,SWE-agent + your own adversarial eval suite,"Design evaluations that detect shortcuts, contamination, flaky tests, evaluator bias and coordination failure.",Derive confidence interval for pass rate and a paired-comparison test across agent variants.,Create a hidden-test benchmark with injected misleading cues and flaky tools; evaluate two architectures.,Agent capability claims are only as good as evaluation validity.,What would make your leaderboard ranking reverse?,"Replication Gate: publish benchmark, seeds, traces, cost and failure taxonomy.",https://arxiv.org/abs/2405.15793,Not Started
13,Autonomous science,Scientific-agent architecture,The AI Scientist (2024): idea → code → experiment → paper → review,"Decompose scientific work into hypothesis generation, experiment, analysis, writing and critique.","Formalize a closed-loop experiment cycle with state, evidence and stop conditions.",Reproduce a simplified autonomous experiment loop on a toy ML/science problem.,AI Scientist demonstrated end-to-end automation within ML domains.,Which stage produces evidence versus merely prose about evidence?,Pass if every claim in generated report links to executable experiment output.,https://arxiv.org/abs/2408.06292,Not Started
14,Autonomous science,Agentic tree search for research,AI Scientist-v2 (2025),"Understand branching experiment search, experiment-manager roles and automated review feedback.",Derive exploration/exploitation tradeoff for experiment tree under a fixed compute budget.,Implement a tiny experiment tree manager; compare greedy vs diverse search.,AI Scientist-v2 reported fully autonomous workshop-paper generation and peer-review acceptance.,How do you prevent search from optimizing the automated reviewer instead of science?,Pass if reviewer-gaming test is included and independent metrics disagree constructively.,https://arxiv.org/abs/2504.08066,Not Started
15,Autonomous science,Causal and experimental discipline for agents,Reuse Wave-1 causal inference + metrology; autonomous-science experiment design,"Require agents to specify estimand/hypothesis, uncertainty, controls and alternative explanations before experiments.",Regenerate target-trial/DOE templates adapted to computational experiments.,"Agent must pre-register experiment table, run controls, and update belief after null/negative results.",This week deliberately adds scientific discipline the agent papers often leave implicit.,Can your system learn from a negative result without rewriting the goalpost?,Pass if null results survive into memory/report and alter subsequent search.,https://arxiv.org/abs/2504.08066,Not Started
16,Autonomous science,"Verification, provenance and research integrity",Tao 2026 'Mathematics in the age of AI' + Leiden Declaration,"Separate problem-solving abundance from explanation, taste, agenda setting, verification and community values.","Write explicit objective decomposition for 'good research': correctness, novelty, explanation, reuse, importance, trust.",Take an AI-generated proof/result and build a provenance/verification dossier plus human-readable explanation.,Tao conditions on research-level AI capability and asks what mathematical research is for; Leiden articulates human-centered principles.,"If proof/solution generation becomes cheap, what remains scarce and worth training?","Pass if system distinguishes verified result, explanatory value and research priority.",https://arxiv.org/abs/2608.16753,Not Started
17,Self-improvement,Empirical self-modification,Darwin Gödel Machine (2025),Understand self-modification as search over agent code with held-out empirical evaluation and archive diversity.,Formalize parent selection → modification → validation → archive loop and selection-bias risks.,Implement a sandboxed toy agent that may change prompts/tools/strategy code but not evaluator; use held-out tests.,DGM reported large coding-benchmark gains through iterative self-modification with safety precautions.,"What exactly improved: agent, benchmark adaptation, evaluator exploit, or compute allocation?",Pass if candidate modifications are frozen before disjoint held-out evaluation.,https://arxiv.org/abs/2505.22954,Not Started
18,Self-improvement,Meta-level self-improvement,Hyperagents (2026),Distinguish improving task behavior from improving the process that generates future improvements.,Draw editable task-agent/meta-agent boundary and identify recursive failure channels.,Allow toy meta-agent to modify its own search strategy; compare transfer of improvements across two task families.,Hyperagents extends DGM by making meta-level modification procedures editable.,How can you tell self-acceleration from ordinary cumulative engineering?,Pass if improvement transfers to a task not used in selection and costs are normalized.,https://arxiv.org/abs/2603.19461,Not Started
19,Self-improvement,Containment and non-regression,DGM safety discussion + sandbox/test engineering,"Design capability-growth experiments with immutable evaluation, permissions, rollback and audit trails.",Derive reliability of a regression suite under correlated/hidden failures.,Build signed immutable evaluator + workspace sandbox + rollback; inject a malicious/self-serving mutation.,Recursive systems magnify evaluator and permission mistakes.,Which components must remain outside the self-modification boundary?,Pass if system rejects a benchmark-improving modification that violates a safety invariant.,https://arxiv.org/abs/2505.22954,Not Started
20,Research apprenticeship,Reproduce a frontier agent result,"Choose AI Scientist-v2, SWE-agent, multi-agent research, DGM or a recent open agent paper",Learn to reproduce claims before proposing novelty.,"From paper alone, reconstruct hypothesis, experimental design, baselines and key metric.",Reproduce one central claim at smaller scale; document all divergences from original.,Current frontier papers become raw material for verification practice.,Which result survived reproduction and which depended on undocumented choices?,Extension Gate: independent reproduction + one falsifying/negative experiment.,https://arxiv.org/abs/2504.08066,Not Started
21,Research apprenticeship,Find a real bottleneck,Failure mining from your reproduction traces,Convert empirical failures into a ranked research agenda rather than feature brainstorming.,Build causal/fault tree of failures and quantify frequency × severity × tractability.,Create dataset of 50+ failures; cluster by mechanism; select one target with a falsifiable intervention.,"Strong research questions often come from stable failure modes, not fashionable architectures.",Why is this bottleneck upstream rather than a symptom?,Pass if proposed intervention predicts where it should *not* help.,https://www.anthropic.com/engineering/multi-agent-research-system,Not Started
22,Research apprenticeship,Independent extension,Your chosen primary paper + adjacent literature,"Design a minimal novel change that tests a mechanism, not just increases compute.","Write one-page theory-of-change with expected positive, null and negative outcomes.",Implement extension with frozen baselines and pre-registered metrics.,"Novelty is judged against literature and mechanism, not code size.",What result would make you abandon your favored explanation?,Pass if change beats or falsifies hypothesis on held-out tasks with cost accounting.,https://web.stanford.edu/class/cs25/,Not Started
23,Capstone,Integrated autonomous research system,All track sources,Integrate model/agent/tooling/memory/evaluation/verification into one bounded system.,Regenerate complete architecture and trust boundaries from blank page.,"Capstone: agent/swarm autonomously investigates a scoped technical question, produces evidence, and survives independent re-run.",The system may automate work; it may not automate away the standard of evidence.,Where can the system deceive itself without any component 'lying'?,Systems Gate: external reviewer can reproduce outputs from clean environment.,https://arxiv.org/abs/2504.08066,Not Started
24,Capstone,Research defense and next 12-month program,Tao + Leiden + all empirical work,"Defend what the system can do, cannot do, and what research should be done next.","Write propositions: capability claims, evidence, assumptions, counterevidence, uncertainty.","Produce technical paper, artifact, benchmark card, safety case, cost ledger, negative-results appendix and 12-month roadmap.","The final product is a research program, not a demo reel.","If models become 10× more capable next year, which parts of your expertise become more valuable?",Capstone Gate: oral defense by technical reviewer + red-team reviewer + domain stakeholder.,https://leidendeclaration.ai/,Not Started
