Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
11,Evolution,Eco-evolutionary interactions,MIT Systems Biology population interactions/games/ecology,"Model cooperation, competition, predator–prey/resource feedback and spatial effects.",Derive two-strategy replicator or Lotka–Volterra fixed points.,Build artificial ecosystem simulation and perturb species/resources.,Engineered organisms enter existing ecological games.,Why can a locally beneficial trait destabilize ecosystem function?,Pass if invasion and recovery scenarios are tested.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
12,Replication,Systems-biology reproduction,MIT problem sets/lectures or an open gene-network paper,Reproduce a canonical switch/oscillator/noise/evolution result.,Reconstruct equations and expected qualitative phase behavior before code.,Replicate one result with parameter sweep and uncertainty/sensitivity analysis.,Reproduction before novelty.,Which qualitative conclusion is robust to parameter uncertainty?,Replication Gate: clean notebook + equation/source provenance + negative case.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
13,Tissue,Transport and tissue-scale constraints,Cell biology + Wave-2 diffusion/fluids/materials,"Understand oxygen/nutrient transport, extracellular matrix, mechanics and vascularization constraints.",Derive diffusion-consumption length scale and surface-area/volume scaling.,Model viable thickness of engineered tissue under consumption and perfusion scenarios.,Artificial organs fail if tissue-scale transport is ignored.,What parameter change buys the most viable thickness?,Pass if transport bound constrains design geometry.,https://openstax.org/details/books/biology-2e,Not Started
14,Tissue,"Stem cells, differentiation and regeneration",Biology/developmental mechanisms + literature review,"Reason about cell state, niche, differentiation, self-renewal and regeneration as control/trajectory problems.",Draw state-transition graph with self-renewal/differentiation and failure modes.,Build stochastic cell-population model under differentiation cues and proliferation limits.,"Regeneration requires controlled state transitions, not simply more growth.",How do you distinguish regeneration from dysplasia/overgrowth?,Pass if safety/quality endpoints include unwanted cell states.,https://openstax.org/details/books/biology-2e,Not Started
15,Tissue,Artificial organs as controlled systems,Physiology core + transport/materials/control,"Backchain organ function into transport, sensing, actuation, biochemical and regulatory functions.",Write multi-scale requirements for kidney/liver/pancreas/heart-like function without prescribing clinical intervention.,Choose one organ and build computational block diagram + mass/energy/control model.,Replacement is harder than matching average throughput because organs regulate dynamically.,Which homeostatic function is easiest to overlook?,Pass if design includes dynamic disturbances and compensatory physiology.,https://openstax.org/details/books/biology-2e,Not Started
16,Aging,Hallmarks of aging framework,López-Otín et al. 2023 Hallmarks of Aging: An Expanding Universe,"Understand the 12-hallmark framework and its criteria: age association, aggravation, amelioration.",Reconstruct hallmarks and causal-evidence criteria without notes.,"Build causal graph linking hallmarks, biomarkers, interventions and clinical outcomes; mark evidence types.",The 2023 update expands the framework to twelve interconnected hallmarks.,"Is a hallmark a cause, mechanism class, biomarker, or organizing framework?",Pass if you refuse causal claims that only have association evidence.,https://pubmed.ncbi.nlm.nih.gov/36599349/,Not Started
17,Aging,Aging frameworks under criticism,2024 open review on hallmarks as conceptual framework + comparative/user-guide literature,"Treat hallmarks as a useful but contestable ontology, not a settled causal decomposition.",List competing organizations and boundary failures of hallmark taxonomy.,"Take 20 aging papers/claims and classify evidence by intervention, species, tissue, outcome and replication.","Recent reviews explicitly discuss strengths, influence and emerging hallmarks.",What observation would make two hallmarks collapse into one mechanism or split further?,Pass if ontology uncertainty changes research priority.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10824251/,Not Started
18,Aging,"Biomarkers, surrogate endpoints and causal traps",Wave-1 causal inference + aging literature,"Distinguish biological-age predictors, mechanisms, surrogate endpoints and clinical benefit.",Regenerate surrogate-paradox/mediation caution and target-trial design.,Simulate an intervention that improves a biomarker while harming latent health outcome.,Longevity research is especially vulnerable to long horizons and proxy optimization.,What evidence validates a biomarker as a decision surrogate?,Pass if benefit claims name endpoint and horizon rather than 'age reversal'.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10824251/,Not Started
19,Research,Failure/uncertainty map for a biological target,All prior work,"Rank mechanism uncertainty, measurement, delivery, heterogeneity, evolution, manufacturing and safety.",Construct causal dependency graph and value-of-information estimate.,Choose gene circuit/tissue/aging target; rank next experiments computationally.,Good biotech research selects experiments that disambiguate mechanisms.,"What uncertainty, if resolved, changes the program decision most?","Pass if next experiment is chosen by information value, not convenience.",https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
20,Research,Reproduce an open computational biology result,Choose systems-biology/aging public-data paper,Practice reproduction using public data/simulation rather than unsafe wet-lab instruction.,Reconstruct estimand/model/data preprocessing and validation split.,Reproduce one central figure/claim; run sensitivity to batch/covariates/model choice.,Computational reproduction is a strong safe research apprenticeship.,Which conclusion depends on preprocessing or cohort composition?,Extension Gate: reproduction + one plausible countermodel.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
21,Research,Mechanism-driven extension,Selected target,Propose minimal extension that discriminates causal mechanisms.,Write predicted outcomes under competing mechanisms.,Run simulation/public-data analysis that produces different predictions between models.,Useful novelty reduces mechanistic uncertainty.,What result would make you abandon your mechanism?,Pass if competing model could win.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10824251/,Not Started
22,Translation,"Manufacturing, delivery and regulatory reality",Wave-2 manufacturing/safety + biologic/tissue product context,"Translate laboratory idea into quality, delivery, reproducibility, storage, monitoring and safety constraints.",Build critical-quality-attribute/process-parameter map.,Construct manufacturing/QC/deployment concept for benign research product/tissue model; no clinical protocol.,Biological therapies are processes as much as molecules.,Which variance source grows with scale?,Pass if scale-up changes design requirements.,https://ocw.mit.edu/courses/20-020-introduction-to-biological-engineering-design-spring-2009/,Not Started
23,Capstone,Integrated biological engineering dossier,All track sources,Link mechanism → model → measurement → evolutionary/tissue context → manufacturing → safety.,Regenerate complete causal/requirements graph.,"Capstone: computational synthetic biology, tissue/organ, or longevity research program with reproducible evidence and experimental design.",No outcome claims beyond evidence tier.,Where is the biggest translation gap from model organism/cell to human/system?,Systems Gate: biology + causal/statistics + safety/translation reviewers.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
24,Capstone,Research defense and human-practice review,MIT 20.020 human practice + all work,"Defend value, uncertainty, affected parties, ownership, reversibility and stopping rules.","Write claim ledger: source, evidence type, assumptions, uncertainty, next falsification.",Final paper/notebooks + risk/governance appendix + 12-month safe research roadmap.,Responsible biological engineering asks consequences of success before deployment.,What future capability would make your current containment/governance inadequate?,Capstone Gate: technical reviewer + bioethics/human-practice reviewer + safety reviewer.,https://ocw.mit.edu/courses/20-020-introduction-to-biological-engineering-design-spring-2009/,Not Started
