Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
11,Engineering,Tritium and fuel cycle,Fusion fuel-cycle overview + mass balances,"Model breeding, inventory, decay, processing and confinement of tritium.",Derive inventory dynamic balance and doubling/availability constraints.,Build closed tritium-cycle model with losses and breeding ratio uncertainty.,"A D-T plant requires an integrated fuel cycle, not only plasma burn.",How much hidden inventory is required by process delays?,Pass if plant operation fails when breeding/process assumptions are stressed.,https://suli.pppl.gov/2026/course/index.html,Not Started
12,Replication,Fusion system replication model,MIT/PPPL open sources,"Integrate 0-D plasma, power, heat, magnet and fuel-cycle models.",Reconstruct full energy/material flow from blank page.,Replicate a published/reference reactor-point estimate at reduced fidelity.,"The goal is system closure, not exact proprietary design.",Which assumption dominates net electric output?,Replication Gate: independent parameter audit reproduces your outputs.,https://suli.pppl.gov/2026/course/index.html,Not Started
13,Fission,Neutron interactions and criticality,MIT 22.05 neutron science/reactor physics,"Understand cross sections, moderation, diffusion and multiplication.",Derive four-factor/k-effective intuition and point-kinetics variables.,Implement simple neutron diffusion/criticality or point-kinetics model.,MIT course explicitly links neutron physics to reactor design.,What physically changes when k_eff crosses 1?,Pass if reactivity units/time scales are interpreted correctly.,https://ocw.mit.edu/courses/22-05-neutron-science-and-reactor-physics-fall-2009/,Not Started
14,Fission,Reactor kinetics and feedback,MIT 22.05 + 22.06,"Model delayed neutrons, temperature/void feedback and control.",Derive point-kinetics steady/transient relationships and feedback sign.,Simulate power transient with negative/positive feedback and scram.,"Reactor safety relies on dynamics, not static criticality alone.",Why are delayed neutrons operationally transformative?,Pass if feedback/scram timescales are compared.,https://ocw.mit.edu/courses/22-06-engineering-of-nuclear-systems-fall-2010/,Not Started
15,Fission,Thermal hydraulics,MIT 22.06 / 22.312,"Integrate heat generation, conduction, coolant flow, boiling margins and power cycles.",Derive fuel-centerline/convective heat relations and control-volume coolant energy balance.,Model channel temperature/pressure-drop and safety margin under power ramp.,MIT 22.312 centers thermal-hydraulic/mechanical phenomena in reliable reactor design.,What thermal quantity is the actual safety constraint?,Pass if power-to-temperature chain closes.,https://ocw.mit.edu/courses/22-312-engineering-of-nuclear-reactors-fall-2015/,Not Started
16,Fission,Nuclear safety and systems design,MIT nuclear systems + safety concepts,"Reason about defense-in-depth, decay heat, passive systems, containment and common cause.",Build fault/event/control structure for loss-of-cooling scenario.,Compare two safety architectures under station blackout assumptions.,Safety is whole-plant control/reliability engineering.,Which safety function must persist without active power?,Pass if independent/common-cause failures are represented.,https://ocw.mit.edu/courses/22-06-engineering-of-nuclear-systems-fall-2010/,Not Started
17,Economics,Plant-level economics and buildability,Energy economics + manufacturing core; fusion deployment material,"Translate physics into CAPEX, availability, construction time and LCOE-like economics.",Derive discounted cash-flow and availability effect on unit energy cost.,"Cost a stylized fusion/fission plant; sensitivity to capacity factor, build time, financing and component life.","Energy wins by delivered reliable cost, not energy density alone.",Which technical improvement has highest economic leverage?,Pass if sensitivity ranks physics and project variables together.,https://suli.pppl.gov/2026/course/index.html,Not Started
18,Grid,Firm power in an energy system,Wave-1 optimization/control + grid/storage context,"Place reactors/fusion in systems with variable renewables, storage and transmission.",Formulate capacity/dispatch optimization with reliability constraint.,Optimize toy grid under different firm-power costs and outage assumptions.,The value of firm energy depends on the surrounding system.,When does a technically expensive generator have high system value?,Pass if comparison uses same reliability/emissions constraints.,https://ocw.mit.edu/courses/22-06-engineering-of-nuclear-systems-fall-2010/,Not Started
19,Research,Failure/bottleneck map,All energy-track models,Rank plasma/heat/material/fuel/plant/construction/economic bottlenecks by leverage and uncertainty.,Build causal dependency graph with elasticities/sensitivity.,Run global sensitivity/Monte Carlo on integrated model.,This prevents spending a career optimizing a non-binding constraint.,Which parameter would you pay most to measure better?,Pass if research priority changes under plausible scenarios.,https://suli.pppl.gov/2026/course/index.html,Not Started
20,Research,Reproduce a fusion or reactor result,Choose open paper/course design calculation,Practice real technical reproduction.,Reconstruct assumptions/equations without code first.,"Reproduce one confinement, diagnostic, reactor physics or thermal-hydraulic result.",Use open course material/paper data.,Which discrepancy is physics versus undocumented convention?,Extension Gate: reproduction + uncertainty budget + one stress case.,https://ocw.mit.edu/courses/22-611j-introduction-to-plasma-physics-i-fall-2006/,Not Started
21,Research,Independent extension,Selected bottleneck literature,Test one mechanism-level intervention.,Write falsifiable prediction and scaling argument.,"Extend model/experiment simulation: control, diagnostic, exhaust, magnet, fuel cycle, reactor feedback or economics.",Novelty comes from reducing an actual system bottleneck.,What metric improves and what worsens?,Pass if tradeoff is quantified.,https://ocw.mit.edu/courses/22-67j-principles-of-plasma-diagnostics-fall-2023/,Not Started
22,Safety,Integrated plant safety case,Wave-2 safety + nuclear/fusion system,Build hazards/controls/reliability around high-energy plant.,"Regenerate containment, shutdown, decay/afterheat and stored-energy hazard map.",STPA/FMEA/reliability analysis for capstone design.,High-energy systems demand evidence before scale.,What credible single/common-cause event dominates consequence?,Pass if shutdown/containment conditions are explicit.,https://ocw.mit.edu/courses/22-06-engineering-of-nuclear-systems-fall-2010/,Not Started
23,Capstone,Integrated energy system design,All track sources,Produce physically and economically closed design at conceptual level.,Reconstruct plasma/neutron → heat → power → auxiliaries → grid chain.,"Capstone: fusion, fission or hybrid enabling subsystem with models, diagnostics/control and cost.",No 'magic materials' or unspecified balance-of-plant.,Where is your largest unresolved empirical uncertainty?,Systems Gate: physics + thermal/material + controls + economics reviewers.,https://suli.pppl.gov/2026/course/index.html,Not Started
24,Capstone,Research program defense,Current 2026 PPPL landscape + all work,Choose next-year research program based on system leverage.,"Write propositions, bounds and kill criteria.",Paper + reproducible model + risk register + experimental/validation plan + 12-month milestones.,PPPL's 2026 course explicitly includes deployment/business alongside plasma/fusion science.,What result in 6 months would cause you to pivot?,"Capstone Gate: defend against scientist, plant engineer and skeptical financier/safety reviewer.",https://suli.pppl.gov/2026/course/index.html,Not Started
